! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : jam_BiadjacencyMatrix.csv
! Equation file        : jam.kpp
! Output root filename : jam
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
EOOH,24,92,1
HOCH2CH2O2,175,92,-1
HO2,237,92,-1
HOCH2CH2O,112,93,0.5
HOCH2CH2O2,175,93,-1
CH3OH,194,93,0.5
HOCH2CHO,222,93,0.5
HCHO,231,93,0.5
CH3O2,235,93,-1
HO2,237,93,0.5
O2,242,93,0.5
HOCH2CH2O,112,94,1
HOCH2CH2O2,175,94,-1
CO2,183,94,1
CH3CO3,227,94,-1
CH3O2,235,94,1
HOCH2CH2O,112,95,-1
HOCH2CHO,222,95,1
HO2,237,95,1
O2,242,95,-1
HOCH2CH2O,112,96,-1
HCHO,231,96,2
HO2,237,96,1
CO,205,97,1.2
GLYOX,215,97,-1
HCOCO3,226,97,0.4
H2O,228,97,1
OH,234,97,-1
HO2,237,97,0.6
CO,205,98,1.2
GLYOX,215,98,-1
HCOCO3,226,98,0.4
HNO3,230,98,1
NO3,236,98,-1
HO2,237,98,0.6
GLYOX,215,99,0.2
HOCH2CHO,222,99,-1
HOCH2CO3,225,99,0.8
H2O,228,99,1
OH,234,99,-1
HO2,237,99,0.2
HOCH2CHO,222,100,-1
HOCH2CO3,225,100,1
HNO3,230,100,1
NO3,236,100,-1
CO2,183,101,1
HOCH2CO3,225,101,-1
HNO3,230,101,1
HCHO,231,101,1
NO2,240,101,-1
HOCH2CO3H,87,102,0.4
HOCH2CO2H,116,102,0.2
CO2,183,102,0.4
HOCH2CO3,225,102,-1
HCHO,231,102,0.4
OH,234,102,0.4
HO2,237,102,-0.6
O3,243,102,0.2
CO2,183,103,1
HOCH2CO3,225,103,-1
HCHO,231,103,2
CH3O2,235,103,-1
HO2,237,103,2
CO2,183,104,2
HOCH2CO3,225,104,-1
CH3CO3,227,104,-1
HCHO,231,104,1
CH3O2,235,104,1
HO2,237,104,1
CO2,183,105,1
HOCH2CO3,225,105,-1
HCHO,231,105,1
HO2,237,105,1
NO,239,105,-1
NO2,240,105,1
CO2,183,106,1
HOCH2CO3,225,106,-1
HCHO,231,106,1
NO3,236,106,-1
HO2,237,106,1
NO2,240,106,1
HOCH2CO2H,116,107,-1
CO2,183,107,1
H2O,228,107,1
HCHO,231,107,1
OH,234,107,-1
HO2,237,107,1
HOCH2CO3H,87,108,-1
HOCH2CO3,225,108,1
H2O,228,108,1
OH,234,108,-1
CO2,183,109,1
CO,205,109,1
HCOCO3,226,109,-1
HCHO,231,109,1
CH3O2,235,109,-1
HO2,237,109,2
CO2,183,110,2
CO,205,110,1
HCOCO3,226,110,-1
CH3CO3,227,110,-1
CH3O2,235,110,1
HO2,237,110,1
HCOCO2H,127,111,0.3
HCOCO3H,128,111,0.7
HCOCO3,226,111,-1
HO2,237,111,-1
O2,242,111,0.7
O3,243,111,0.3
CO2,183,112,1
CO,205,112,1
HCOCO3,226,112,-1
HO2,237,112,1
NO,239,112,-1
NO2,240,112,1
CO2,183,113,1
CO,205,113,1
HCOCO3,226,113,-1
NO3,236,113,-1
HO2,237,113,1
NO2,240,113,1
HCOCO2H,127,114,-1
CO2,183,114,1
CO,205,114,1
H2O,228,114,1
OH,234,114,-1
HO2,237,114,1
HCOCO3H,128,115,-1
HCOCO3,226,115,1
H2O,228,115,1
OH,234,115,-1
CH3CN,78,116,-1
CO,205,116,1
H2O,228,116,1
HCHO,231,116,1
OH,234,116,-1
NO2,240,116,1
C3H6,159,117,-1
HYPROPO2,200,117,1
OH,234,117,-1
CH3CO2H,111,118,0.075
HCOOH,154,118,0.075
C3H6,159,118,-1
H2O2,160,118,0.09
CO2,183,118,0.2
CH3CHO,203,118,0.545
CO,205,118,0.56
CH4,213,118,0.1
HCHO,231,118,0.545
OH,234,118,0.36
CH3O2,235,118,0.28
HO2,237,118,0.28
O3,243,118,-1
C3H6,159,119,-1
PRONO3BO2,191,119,1
NO3,236,119,-1
C3H8,52,120,-1
C3H7O2,169,120,1
H2O,228,120,1
OH,234,120,-1
CH3COCH3,184,121,-1
CH3COCH2O2,204,121,1
H2O,228,121,1
OH,234,121,-1
C3H7O2,169,122,-1
CH3COCH3,184,122,0.82
CH3CHO,203,122,0.27
HO2,237,122,1
NO,239,122,-1
NO2,240,122,1
C3H7OOH,91,123,1
C3H7O2,169,123,-1
HO2,237,123,-1
O2,242,123,1
C3H7O2,169,124,-1
CH3COCH3,184,124,0.82
CH3CHO,203,124,0.27
HCHO,231,124,1
CH3O2,235,124,-1
HO2,237,124,2
C3H7O2,169,125,-1
CO2,183,125,1
CH3COCH3,184,125,0.82
CH3CHO,203,125,0.27
CH3CO3,227,125,-1
CH3O2,235,125,1
HO2,237,125,1
C3H7OOH,91,126,-1
C3H7O2,169,126,0.5
CH3COCH3,184,126,0.41
CH3CHO,203,126,0.135
H2O,228,126,0.5
OH,234,126,-0.5
HYPROPO2,200,127,-1
CH3CHO,203,127,1
HCHO,231,127,1
HO2,237,127,1
NO,239,127,-1
NO2,240,127,1
HYPROPO2,200,128,-1
CH3CHO,203,128,1
HCHO,231,128,1
NO3,236,128,-1
HO2,237,128,1
NO2,240,128,1
HYPROPO2H,124,129,1
HYPROPO2,200,129,-1
HO2,237,129,-1
O2,242,129,1
CH3OH,194,130,0.25
HYPROPO2,200,130,-1
CH3CHO,203,130,0.5
ACETOL,210,130,0.5
HCHO,231,130,1.25
CH3O2,235,130,-1
HO2,237,130,1
CO2,183,131,1
HYPROPO2,200,131,-1
CH3CHO,203,131,1
CH3CO3,227,131,-1
HCHO,231,131,1
CH3O2,235,131,1
HO2,237,131,1
HYPROPO2H,124,132,-1
HYPROPO2,200,132,0.5
ACETOL,210,132,0.5
H2O,228,132,1
OH,234,132,-0.5
ACETOL,210,133,-1
MGLYOX,211,133,1
H2O,228,133,1
OH,234,133,-1
HO2,237,133,1
CO,205,134,1
MGLYOX,211,134,-1
CH3CO3,227,134,1
H2O,228,134,1
OH,234,134,-1
CO,205,135,1
MGLYOX,211,135,-1
CH3CO3,227,135,1
HNO3,230,135,1
NO3,236,135,-1
CH3COCH2O2,204,136,-1
