! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : jam_EdgeList.csv
! Equation file        : jam.kpp
! Output root filename : jam
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
237,77,R77,HO2,1
239,77,NO,R77,-1
240,77,R77,NO2,1
75,78,R78,C2H5OOH,1
180,78,C2H5O2,R78,-1
237,78,HO2,R78,-1
242,78,R78,O2,1
65,79,R79,C2H5OH,0.2
180,79,C2H5O2,R79,-1
194,79,R79,CH3OH,0.3
203,79,R79,CH3CHO,0.8
231,79,R79,HCHO,0.7
235,79,CH3O2,R79,-1
237,79,R79,HO2,1
180,80,C2H5O2,R80,-1
183,80,R80,CO2,1
203,80,R80,CH3CHO,1
227,80,CH3CO3,R80,-1
235,80,R80,CH3O2,1
237,80,R80,HO2,1
65,81,R81,C2H5OH,0.4
180,81,C2H5O2,R81,-2
203,81,R81,CH3CHO,1.6
237,81,R81,HO2,1.2
75,82,C2H5OOH,R82,-1
180,82,R82,C2H5O2,0.5
203,82,R82,CH3CHO,0.5
228,82,R82,H2O,1
234,82,OH,R82,-1
234,82,R82,OH,0.5
183,83,R83,CO2,1
227,83,CH3CO3,R83,-1
235,83,R83,CH3O2,1
239,83,NO,R83,-1
240,83,R83,NO2,1
98,84,R84,PAN,1
227,84,CH3CO3,R84,-1
240,84,NO2,R84,-1
93,85,R85,CH3CO3H,0.4
111,85,R85,CH3CO2H,0.2
183,85,R85,CO2,0.4
227,85,CH3CO3,R85,-1
234,85,R85,OH,0.4
235,85,R85,CH3O2,0.4
237,85,HO2,R85,-1
243,85,R85,O3,0.2
111,86,R86,CH3CO2H,0.1
183,86,R86,CO2,0.9
227,86,CH3CO3,R86,-1
231,86,R86,HCHO,1
235,86,CH3O2,R86,-1
235,86,R86,CH3O2,0.9
237,86,R86,HO2,0.9
183,87,R87,CO2,2
227,87,CH3CO3,R87,-2
235,87,R87,CH3O2,2
111,88,CH3CO2H,R88,-1
183,88,R88,CO2,1
228,88,R88,H2O,1
234,88,OH,R88,-1
235,88,R88,CH3O2,1
98,89,PAN,R89,-1
227,89,R89,CH3CO3,1
240,89,R89,NO2,1
98,90,PAN,R90,-1
183,90,R90,CO2,1
231,90,R90,HCHO,1
234,90,OH,R90,-1
236,90,R90,NO3,1
112,91,R91,HOCH2CH2O,0.75
175,91,HOCH2CH2O2,R91,-1
231,91,R91,HCHO,0.5
237,91,R91,HO2,0.25
239,91,NO,R91,-1
240,91,R91,NO2,1
24,92,R92,EOOH,1
175,92,HOCH2CH2O2,R92,-1
237,92,HO2,R92,-1
112,93,R93,HOCH2CH2O,0.5
175,93,HOCH2CH2O2,R93,-1
194,93,R93,CH3OH,0.5
222,93,R93,HOCH2CHO,0.5
231,93,R93,HCHO,0.5
235,93,CH3O2,R93,-1
237,93,R93,HO2,0.5
242,93,R93,O2,0.5
112,94,R94,HOCH2CH2O,1
175,94,HOCH2CH2O2,R94,-1
183,94,R94,CO2,1
227,94,CH3CO3,R94,-1
235,94,R94,CH3O2,1
112,95,HOCH2CH2O,R95,-1
222,95,R95,HOCH2CHO,1
237,95,R95,HO2,1
242,95,O2,R95,-1
112,96,HOCH2CH2O,R96,-1
231,96,R96,HCHO,2
237,96,R96,HO2,1
205,97,R97,CO,1.2
215,97,GLYOX,R97,-1
226,97,R97,HCOCO3,0.4
228,97,R97,H2O,1
234,97,OH,R97,-1
237,97,R97,HO2,0.6
205,98,R98,CO,1.2
215,98,GLYOX,R98,-1
226,98,R98,HCOCO3,0.4
230,98,R98,HNO3,1
236,98,NO3,R98,-1
237,98,R98,HO2,0.6
215,99,R99,GLYOX,0.2
222,99,HOCH2CHO,R99,-1
225,99,R99,HOCH2CO3,0.8
228,99,R99,H2O,1
234,99,OH,R99,-1
237,99,R99,HO2,0.2
222,100,HOCH2CHO,R100,-1
225,100,R100,HOCH2CO3,1
230,100,R100,HNO3,1
236,100,NO3,R100,-1
183,101,R101,CO2,1
225,101,HOCH2CO3,R101,-1
230,101,R101,HNO3,1
231,101,R101,HCHO,1
240,101,NO2,R101,-1
87,102,R102,HOCH2CO3H,0.4
116,102,R102,HOCH2CO2H,0.2
183,102,R102,CO2,0.4
225,102,HOCH2CO3,R102,-1
231,102,R102,HCHO,0.4
234,102,R102,OH,0.4
237,102,HO2,R102,-1
237,102,R102,HO2,0.4
243,102,R102,O3,0.2
183,103,R103,CO2,1
225,103,HOCH2CO3,R103,-1
231,103,R103,HCHO,2
235,103,CH3O2,R103,-1
237,103,R103,HO2,2
183,104,R104,CO2,2
225,104,HOCH2CO3,R104,-1
227,104,CH3CO3,R104,-1
231,104,R104,HCHO,1
235,104,R104,CH3O2,1
237,104,R104,HO2,1
183,105,R105,CO2,1
225,105,HOCH2CO3,R105,-1
231,105,R105,HCHO,1
237,105,R105,HO2,1
239,105,NO,R105,-1
240,105,R105,NO2,1
183,106,R106,CO2,1
225,106,HOCH2CO3,R106,-1
231,106,R106,HCHO,1
236,106,NO3,R106,-1
237,106,R106,HO2,1
240,106,R106,NO2,1
116,107,HOCH2CO2H,R107,-1
183,107,R107,CO2,1
228,107,R107,H2O,1
231,107,R107,HCHO,1
234,107,OH,R107,-1
237,107,R107,HO2,1
87,108,HOCH2CO3H,R108,-1
225,108,R108,HOCH2CO3,1
228,108,R108,H2O,1
234,108,OH,R108,-1
183,109,R109,CO2,1
205,109,R109,CO,1
226,109,HCOCO3,R109,-1
231,109,R109,HCHO,1
235,109,CH3O2,R109,-1
237,109,R109,HO2,2
183,110,R110,CO2,2
205,110,R110,CO,1
226,110,HCOCO3,R110,-1
227,110,CH3CO3,R110,-1
235,110,R110,CH3O2,1
237,110,R110,HO2,1
127,111,R111,HCOCO2H,0.3
128,111,R111,HCOCO3H,0.7
226,111,HCOCO3,R111,-1
237,111,HO2,R111,-1
242,111,R111,O2,0.7
243,111,R111,O3,0.3
183,112,R112,CO2,1
205,112,R112,CO,1
226,112,HCOCO3,R112,-1
237,112,R112,HO2,1
239,112,NO,R112,-1
240,112,R112,NO2,1
183,113,R113,CO2,1
205,113,R113,CO,1
226,113,HCOCO3,R113,-1
236,113,NO3,R113,-1
237,113,R113,HO2,1
240,113,R113,NO2,1
127,114,HCOCO2H,R114,-1
183,114,R114,CO2,1
205,114,R114,CO,1
228,114,R114,H2O,1
234,114,OH,R114,-1
237,114,R114,HO2,1
128,115,HCOCO3H,R115,-1
226,115,R115,HCOCO3,1
228,115,R115,H2O,1
