! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_BiadjacencyMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
NO2,731,113,-1
HONO,491,114,1
CH3O,705,114,-1
HCHO,715,114,1
NO2,731,114,-1
CH3ONO,393,115,1
CH3O,705,115,-1
NO,730,115,-1
HNO,540,116,1
CH3O,705,116,-1
HCHO,715,116,1
NO,730,116,-1
CH3O,705,117,1
CH3O2,717,117,-1
O3,719,117,-1
O2,723,117,2
CH3ONO,393,118,-1
H2O,714,118,1
HCHO,715,118,1
OH,727,118,-1
NO,730,118,1
HOCH2O2,648,119,1
HCHO,715,119,-1
HO2,721,119,-1
HOCH2O2,648,120,-1
HCHO,715,120,1
HO2,721,120,1
HOCH2OOH,519,121,0.5
HOCH2O2,648,121,-1
H2O,714,121,0.3
HO2,721,121,-0.8
O2,723,121,0.8
OH,727,121,0.2
HCOOH,728,121,0.5
HOCH2O2,648,122,-1
HO2,721,122,1
HCOOH,728,122,1
NO,730,122,-1
NO2,731,122,1
HOCH2O2,648,123,-1
HO2,721,123,1
HCOOH,728,123,1
NO2,731,123,1
NO3,732,123,-1
HOCH2O2,648,124,-1
HO2,721,124,1
HCOOH,728,124,1
HOCH2OH,90,125,0.5
HOCH2O2,648,125,-1
O2,723,125,0.5
HCOOH,728,125,0.5
HOCH2OOH,519,126,-1
HOCH2O2,648,126,1
H2O,714,126,1
OH,727,126,-1
HOCH2OOH,519,127,-1
H2O,714,127,1
HCOOH,728,127,1
HOCH2OH,90,128,-1
H2O,714,128,1
HO2,721,128,1
OH,727,128,-1
HCOOH,728,128,1
CH3O,705,129,1
CH3O2,717,129,-1
HO2,721,129,1
OH,727,129,-1
CH2OO,718,130,-1
HO2,721,130,1
CO,726,130,1
OH,727,130,1
HOCH2OOH,519,131,1
H2O,714,131,-1
CH2OO,718,131,-1
H2OH2O,84,132,-1
HOCH2OOH,519,132,1
H2O,714,132,1
CH2OO,718,132,-1
HCHO,715,133,1
CH2OO,718,133,-1
NO,730,133,-1
NO2,731,133,1
HCHO,715,134,1
CH2OO,718,134,-1
NO2,731,134,-1
NO3,732,134,1
CO2,653,135,1
HCHO,715,135,1
CH2OO,718,135,-1
CO,726,135,-1
CH2OO,718,136,-1
HCOOH,728,136,1
LCARBON,9,137,2
HCHO,715,137,-1
CH2OO,718,137,-1
LCARBON,9,138,2
CH3OH,677,138,-1
CH2OO,718,138,-1
LCARBON,9,139,2
CH3O2,717,139,-1
CH2OO,718,139,-1
LCARBON,9,140,1
CH2OO,718,140,-1
HO2,721,140,-1
HCHO,715,141,1
CH2OO,718,141,-1
O3,719,141,-1
O2,723,141,2
