! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gas_SpeciesCompositionMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,H,C,N,O,F,S,Cl,Br,I,Hg,Pls,Min
233,C614OOH,10,6,0,5,0,0,0,0,0,0,0,0
234,BZBIPEROOH,8,6,0,5,0,0,0,0,0,0,0,0
235,BZEMUCCO,6,6,0,5,0,0,0,0,0,0,0,0
236,C5CO2DCO3H,6,6,0,5,0,0,0,0,0,0,0,0
237,C2H5NO3,5,2,1,3,0,0,0,0,0,0,0,0
238,C615CO2OOH,8,6,0,4,0,0,0,0,0,0,0,0
239,C5CO2OHPAN,5,6,1,8,0,0,0,0,0,0,0,0
240,DNPHENOOH,6,6,2,10,0,0,0,0,0,0,0,0
241,NCATECOOH,7,6,1,9,0,0,0,0,0,0,0,0
242,NNCATECOOH,6,6,2,11,0,0,0,0,0,0,0,0
243,NPHENOOH,7,6,1,8,0,0,0,0,0,0,0,0
244,C3DIALOOH,4,3,0,4,0,0,0,0,0,0,0,0
245,C44OOH,6,4,0,5,0,0,0,0,0,0,0,0
246,PHCOOH,6,7,0,2,0,0,0,0,0,0,0,0
247,TLEMUCCO,8,7,0,5,0,0,0,0,0,0,0,0
248,C7PAN3,7,7,1,8,0,0,0,0,0,0,0,0
249,C6CO2OHPAN,7,7,1,8,0,0,0,0,0,0,0,0
250,DNCRESOOH,8,7,2,10,0,0,0,0,0,0,0,0
251,MNCATECOOH,9,7,1,9,0,0,0,0,0,0,0,0
252,MNNCATCOOH,8,7,2,11,0,0,0,0,0,0,0,0
253,CO2H3CO2H,6,4,0,5,0,0,0,0,0,0,0,0
254,STYRENOOH,10,8,0,3,0,0,0,0,0,0,0,0
255,C810NO3,13,8,1,5,0,0,0,0,0,0,0,0
256,C89NO3,13,8,1,4,0,0,0,0,0,0,0,0
257,C89CO2H,14,9,0,3,0,0,0,0,0,0,0,0
258,C89CO3H,14,9,0,4,0,0,0,0,0,0,0,0
259,C811PAN,13,9,1,7,0,0,0,0,0,0,0,0
260,BPINAOOH,18,10,0,3,0,0,0,0,0,0,0,0
261,C109OOH,16,10,0,4,0,0,0,0,0,0,0,0
262,IC3H7OOH,8,3,0,2,0,0,0,0,0,0,0,0
263,C106NO3,15,10,1,6,0,0,0,0,0,0,0,0
264,C10PAN2,15,10,1,6,0,0,0,0,0,0,0,0
265,PINALNO3,15,10,1,5,0,0,0,0,0,0,0,0
266,LAPINABOOH,18,10,0,3,0,0,0,0,0,0,0,0
267,LNBPINABOOH,17,10,1,5,0,0,0,0,0,0,0,0
268,C2H5OOH,6,2,0,2,0,0,0,0,0,0,0,0
269,IBr,0,0,0,0,0,0,0,1,1,0,0,0
270,HNO4,1,0,1,4,0,0,0,0,0,0,0,0
271,CH3COH,4,2,0,1,0,0,0,0,0,0,0,0
272,BIACETOH,6,4,0,3,0,0,0,0,0,0,0,0
273,LISOPEFO,9,5,0,2,0,0,0,0,0,0,0,0
274,NCATECHOL,5,6,1,4,0,0,0,0,0,0,0,0
275,ROO6R3O2,11,7,0,5,0,0,0,0,0,0,0,0
276,TOLUENE,8,7,0,0,0,0,0,0,0,0,0,0
277,C811O2,13,8,0,4,0,0,0,0,0,0,0,0
278,EBENZ,10,8,0,0,0,0,0,0,0,0,0,0
279,LTMB,12,9,0,0,0,0,0,0,0,0,0,0
280,BPINANO3,17,10,1,4,0,0,0,0,0,0,0,0
281,LHAROM,14,11,0,0,0,0,0,0,0,0,0,0
282,CH3Cl,3,1,0,0,0,0,1,0,0,0,0,0
283,OClO,0,0,0,2,0,0,1,0,0,0,0,0
284,N2O,0,0,2,1,0,0,0,0,0,0,0,0
285,HOOCH2CO3H,4,2,0,5,0,0,0,0,0,0,0,0
286,PROPOLNO3,7,3,1,4,0,0,0,0,0,0,0,0
287,C5DICAROOH,8,5,0,5,0,0,0,0,0,0,0,0
288,ISOPBNO3,9,5,1,4,0,0,0,0,0,0,0,0
289,PERIBUACID,8,4,0,3,0,0,0,0,0,0,0,0
290,ACCOMEPAN,5,5,1,8,0,0,0,0,0,0,0,0
291,C4CO2DBPAN,3,5,1,7,0,0,0,0,0,0,0,0
292,NBZFUOOH,5,4,1,7,0,0,0,0,0,0,0,0
293,LISOPAB,9,5,0,1,0,0,0,0,0,0,0,0
294,LISOPCD,9,5,0,1,0,0,0,0,0,0,0,0
295,LZCPANC23DBCOD,5,5,1,6,0,0,0,0,0,0,0,0
296,TC4H9OOH,10,4,0,2,0,0,0,0,0,0,0,0
297,C5COOHCO3H,6,6,0,6,0,0,0,0,0,0,0,0
298,PHENOOH,8,6,0,6,0,0,0,0,0,0,0,0
299,C614NO3,9,6,1,6,0,0,0,0,0,0,0,0
300,BZBIPERNO3,7,6,1,6,0,0,0,0,0,0,0,0
301,BZEMUCPAN,5,6,1,7,0,0,0,0,0,0,0,0
302,C5CO2DBPAN,5,6,1,7,0,0,0,0,0,0,0,0
303,NDNPHENOOH,5,6,3,12,0,0,0,0,0,0,0,0
304,C3MDIALOOH,6,4,0,4,0,0,0,0,0,0,0,0
305,LBUT1ENOOH,10,4,0,3,0,0,0,0,0,0,0,0
306,C6COOHCO3H,8,7,0,6,0,0,0,0,0,0,0,0
307,CRESOOH,10,7,0,6,0,0,0,0,0,0,0,0
308,NDNCRESOOH,7,7,3,12,0,0,0,0,0,0,0,0
309,PBZN,5,7,1,5,0,0,0,0,0,0,0,0
310,TLEMUCNO3,9,7,1,7,0,0,0,0,0,0,0,0
311,TLEMUCPAN,7,7,1,7,0,0,0,0,0,0,0,0
312,C721PAN,11,8,1,7,0,0,0,0,0,0,0,0
313,NCO,0,1,1,1,0,0,0,0,0,0,0,0
314,C89PAN,13,9,1,6,0,0,0,0,0,0,0,0
315,C9PAN2,13,9,1,6,0,0,0,0,0,0,0,0
316,HYPROPO2H,8,3,0,3,0,0,0,0,0,0,0,0
317,TC4H9NO3,9,4,1,3,0,0,0,0,0,0,0,0
318,LBUT1ENNO3,9,4,1,5,0,0,0,0,0,0,0,0
319,LC4H9NO3,9,4,1,3,0,0,0,0,0,0,0,0
320,PERPROACID,6,3,0,3,0,0,0,0,0,0,0,0
321,MBOACO,10,5,0,3,0,0,0,0,0,0,0,0
322,ME3FURAN,6,5,0,1,0,0,0,0,0,0,0,0
323,CH3COCO3H,4,3,0,4,0,0,0,0,0,0,0,0
324,PBZQONE,4,6,0,2,0,0,0,0,0,0,0,0
325,CN,0,1,1,0,0,0,0,0,0,0,0,0
326,IPRHOCO2H,8,4,0,3,0,0,0,0,0,0,0,0
327,C812O2,13,8,0,5,0,0,0,0,0,0,0,0
328,C97O2,15,9,0,4,0,0,0,0,0,0,0,0
329,MACO2H,6,4,0,2,0,0,0,0,0,0,0,0
330,NBZFUONE,3,4,1,6,0,0,0,0,0,0,0,0
331,OHMENTHEN6ONEO2,17,10,0,5,0,0,0,0,0,0,0,0
332,ClNO2,0,0,1,2,0,0,1,0,0,0,0,0
333,DMSO,6,2,0,1,0,1,0,0,0,0,0,0
334,C54CO,4,5,0,4,0,0,0,0,0,0,0,0
335,LNISOOH,0,5,1,0,0,0,0,0,0,0,0,0
336,BUT2OLOOH,10,4,0,3,0,0,0,0,0,0,0,0
337,CH3CHCO,4,3,0,1,0,0,0,0,0,0,0,0
338,CH3O2NO2,3,1,1,4,0,0,0,0,0,0,0,0
339,C2H5O2NO2,5,2,1,4,0,0,0,0,0,0,0,0
340,HOCH2O2NO2,3,1,1,5,0,0,0,0,0,0,0,0
341,NCRESOOH,9,7,1,8,0,0,0,0,0,0,0,0
342,HOCH2CO3H,4,2,0,4,0,0,0,0,0,0,0,0
343,MALDIALOOH,6,4,0,5,0,0,0,0,0,0,0,0
344,HYETHO2H,6,2,0,3,0,0,0,0,0,0,0,0
345,HOCH2COCH2OOH,6,3,0,4,0,0,0,0,0,0,0,0
346,DB2OOH,10,5,0,5,0,0,0,0,0,0,0,0
347,PINONIC,16,10,0,3,0,0,0,0,0,0,0,0
348,MPAN,5,4,1,5,0,0,0,0,0,0,0,0
349,PIPN,7,4,1,5,0,0,0,0,0,0,0,0
