! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : chemuci_EdgeList.csv
! Equation file        : chemuci.kpp
! Output root filename : chemuci
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
41,78,HO2,R78,-1
46,78,R78,OH,1
32,79,R79,CH2O,2
34,79,ROHO2,R79,-1
41,79,R79,HO2,1
42,79,CH3O2,R79,-1
32,80,R80,CH2O,1
36,80,ISOPO2,R80,-1
37,80,R80,MVKMACR,1
43,80,NO,R80,-1
44,80,R80,NO2,1
30,81,R81,CO,2
31,81,R81,C2H5OOH,1
36,81,ISOPO2,R81,-1
41,81,HO2,R81,-1
32,82,R82,CH2O,2
36,82,ISOPO2,R82,-1
37,82,R82,MVKMACR,1
41,82,R82,HO2,2
42,82,CH3O2,R82,-1
32,83,R83,CH2O,1
37,83,MVKMACR,R83,-1
39,83,R83,CH3CO3,0.5
40,83,O3,R83,-1
42,83,R83,CH3O2,1
33,84,R84,MVKO2,1
37,84,MVKMACR,R84,-1
46,84,OH,R84,-1
32,85,R85,CH2O,1
33,85,MVKO2,R85,-1
39,85,R85,CH3CO3,0.5
43,85,NO,R85,-1
44,85,R85,NO2,1
30,86,R86,CO,1
31,86,R86,C2H5OOH,1
33,86,MVKO2,R86,-1
41,86,HO2,R86,-1
3,87,E90,R87,-1
17,88,R88,SO2,1
23,88,DMS,R88,-1
46,88,OH,R88,-1
17,89,R89,SO2,0.5
23,89,DMS,R89,-1
41,89,R89,HO2,0.5
46,89,OH,R89,-1
10,90,R90,H2SO4,1
17,90,SO2,R90,-1
46,90,OH,R90,-1
17,91,R91,SO2,1
23,91,DMS,R91,-1
27,91,R91,HNO3,1
45,91,NO3,R91,-1
4,92,SOAG0,R92,-1
5,92,R92,SOAG15,1.15
5,93,SOAG15,R93,-1
6,93,R93,SOAG24,1.15
6,94,SOAG24,R94,-1
13,94,R94,SOAG33,0.46
15,94,R94,SOAG35,0.5
1,95,ISOP_VBS,R95,-1
12,95,R95,SOAG32,0.00272
13,95,R95,SOAG33,0.00981
14,95,R95,SOAG34,0.00218
2,96,C10H16,R96,-1
12,96,R96,SOAG32,0.14986
13,96,R96,SOAG33,0.0545
14,96,R96,SOAG34,0.09264
1,97,ISOP_VBS,R97,-1
13,97,R97,SOAG33,0.00327
2,98,C10H16,R98,-1
11,98,R98,SOAG31,0.0436
12,98,R98,SOAG32,0.01035
13,98,R98,SOAG33,0.09809
14,98,R98,SOAG34,0.01635
1,99,ISOP_VBS,R99,-1
12,99,R99,SOAG32,0.00027
13,99,R99,SOAG33,0.0406
14,99,R99,SOAG34,0.06458
2,100,C10H16,R100,-1
13,100,R100,SOAG33,0.17493
14,100,R100,SOAG34,0.59019
14,101,R101,SOAG34,0.46
15,101,SOAG35,R101,-1
15,101,R101,SOAG35,0.5
13,102,R102,SOAG33,0.46
14,102,SOAG34,R102,-1
15,102,R102,SOAG35,0.5
12,103,R103,SOAG32,0.46
13,103,SOAG33,R103,-1
15,103,R103,SOAG35,0.5
11,104,R104,SOAG31,0.46
12,104,SOAG32,R104,-1
15,104,R104,SOAG35,0.5
