! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : cri_BiadjacencyMatrix.csv
! Equation file        : cri.kpp
! Output root filename : cri
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
C4H6,280,92,-1
CO,376,92,2
HCHO,415,92,2
O3,434,92,-1
OH,439,92,1
HO2,441,92,1
HCOOH,277,93,1
C4H6,280,93,-1
CO,376,93,1
HCHO,415,93,2
O3,434,93,-1
C5H8,367,94,-1
CO,376,94,1
UCARB10,404,94,1
O3,434,94,-1
OH,439,94,1
HO2,441,94,1
HCOOH,277,95,1
C5H8,367,95,-1
UCARB10,404,95,1
O3,434,95,-1
APINENE,316,96,-1
RTN28O2,370,96,1
OH,439,96,-1
NRTN28O2,281,97,1
APINENE,316,97,-1
NO3,437,97,-1
APINENE,316,98,-1
CH3COCH3,371,98,1
RN18AO2,408,98,1
O3,434,98,-1
OH,439,98,1
H2O2,204,99,1
APINENE,316,99,-1
TNCARB26,317,99,1
O3,434,99,-1
RCOOH25,75,100,1
APINENE,316,100,-1
O3,434,100,-1
BPINENE,303,101,-1
RTX28O2,368,101,1
OH,439,101,-1
BPINENE,303,102,-1
NRTX28O2,319,102,1
NO3,437,102,-1
BPINENE,303,103,-1
RTX24O2,420,103,1
O3,434,103,-1
OH,439,103,1
H2O2,204,104,1
TXCARB24,227,104,1
BPINENE,303,104,-1
HCHO,415,104,1
O3,434,104,-1
TXCARB22,203,105,1
BPINENE,303,105,-1
HCHO,415,105,1
O3,434,105,-1
TXCARB24,227,106,1
BPINENE,303,106,-1
CO,376,106,1
O3,434,106,-1
C2H2,73,107,-1
HCOOH,277,107,1
CO,376,107,1
OH,439,107,-1
HO2,441,107,1
C2H2,73,108,-1
CARB3,363,108,1
BENZENE,55,109,-1
RA13O2,312,109,1
OH,439,109,-1
BENZENE,55,110,-1
AROH14,84,110,1
OH,439,110,-1
HO2,441,110,1
TOLUENE,56,111,-1
RA16O2,360,111,1
OH,439,111,-1
TOLUENE,56,112,-1
AROH17,85,112,1
OH,439,112,-1
HO2,441,112,1
OXYL,43,113,-1
RA19AO2,330,113,1
OH,439,113,-1
OXYL,43,114,-1
RA19CO2,410,114,1
OH,439,114,-1
MXYL,44,115,-1
RA19AO2,330,115,1
OH,439,115,-1
MXYL,44,116,-1
RA19BO2,378,116,1
OH,439,116,-1
PXYL,45,117,-1
RA19AO2,330,117,1
OH,439,117,-1
PXYL,45,118,-1
RA19BO2,378,118,1
OH,439,118,-1
