! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : cri_SpeciesCompositionMatrix.csv
! Equation file        : cri.kpp
! Output root filename : cri
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,S
176,RA28OOH,1,0,0,0,0,0
177,RUA20OOH,1,0,0,0,0,0
178,HOC2H4OOH,1,0,0,0,0,0
179,RN12OOH,1,0,0,0,0,0
180,RI12OOH,1,0,0,0,0,0
181,RI15OOH,1,0,0,0,0,0
182,HOCH2CO3H,0,4,2,0,4,0
183,RN17OOH,1,0,0,0,0,0
184,RN23OOH,1,0,0,0,0,0
185,RN29OOH,1,0,0,0,0,0
186,RN35OOH,1,0,0,0,0,0
187,RU11OOH,1,0,0,0,0,0
188,RU14OOH,1,0,0,0,0,0
189,RI14OOH,1,0,0,0,0,0
190,RI17OOH,1,0,0,0,0,0
191,NRN9OOH,1,0,0,0,0,0
192,NRN15OOH,1,0,0,0,0,0
193,NRI12OOH,1,0,0,0,0,0
194,NRI15OOH,1,0,0,0,0,0
195,NRU12OOH,1,0,0,0,0,0
196,RTN23OOH,1,0,0,0,0,0
197,RTN10OOH,1,0,0,0,0,0
198,RTX22OOH,1,0,0,0,0,0
199,ANHY,1,0,0,0,0,0
200,ECARB13,1,0,0,0,0,0
201,C3H7CHO,0,8,4,0,1,0
202,C4H9CHO,0,10,5,0,1,0
203,TXCARB22,1,0,0,0,0,0
204,H2O2,0,2,0,0,2,0
205,RI13NO3,1,0,0,0,0,0
206,RA13NO3,1,0,0,0,0,0
207,RA16NO3,1,0,0,0,0,0
208,RA25NO3,1,0,0,0,0,0
209,RA28NO3,1,0,0,0,0,0
210,RE12NO3,1,0,0,0,0,0
211,RE18NO3,1,0,0,0,0,0
212,RN16OOH,1,0,0,0,0,0
213,RN9OOH,1,0,0,0,0,0
214,RN20OOH,1,0,0,0,0,0
215,RN26OOH,1,0,0,0,0,0
216,RN32OOH,1,0,0,0,0,0
217,RTN14OOH,1,0,0,0,0,0
218,RTX28OOH,1,0,0,0,0,0
219,NRTX28OOH,1,0,0,0,0,0
220,ARNOH17,1,0,0,0,0,0
221,PAN,0,3,2,1,5,0
222,PPN,0,5,3,1,5,0
223,PHAN,0,3,2,1,6,0
224,RTN26PAN,1,0,0,0,0,0
225,RN16NO3,1,0,0,0,0,0
226,MIPK,0,10,5,0,1,0
227,TXCARB24,1,0,0,0,0,0
228,RI16OOH,1,0,0,0,0,0
229,RA22OOH,1,0,0,0,0,0
230,RN18OOH,1,0,0,0,0,0
231,RN24OOH,1,0,0,0,0,0
232,RN30OOH,1,0,0,0,0,0
233,RN36OOH,1,0,0,0,0,0
234,CARB35,1,0,0,0,0,0
235,CH3CO2H,0,4,2,0,2,0
236,HUCARB9,1,0,0,0,0,0
237,RAROH14,1,0,0,0,0,0
238,RN13NO3,1,0,0,0,0,0
239,RN19OOH,1,0,0,0,0,0
240,RU12OOH,1,0,0,0,0,0
241,DHPR12OOH,1,0,0,0,0,0
242,DHPCARB9,1,0,0,0,0,0
243,RN19NO3,1,0,0,0,0,0
244,RI16NO3,1,0,0,0,0,0
245,RA22NO3,1,0,0,0,0,0
246,RN13OOH,1,0,0,0,0,0
247,RA19OOH,1,0,0,0,0,0
248,RN15OOH,1,0,0,0,0,0
249,RN21OOH,1,0,0,0,0,0
250,RN27OOH,1,0,0,0,0,0
251,RN33OOH,1,0,0,0,0,0
252,RN14OOH,1,0,0,0,0,0
253,CARB20,1,0,0,0,0,0
254,CARB23,1,0,0,0,0,0
255,CARB26,1,0,0,0,0,0
256,CARB29,1,0,0,0,0,0
257,CARB32,1,0,0,0,0,0
258,CARB10,1,0,0,0,0,0
259,NRUA20O2,1,0,0,0,0,0
260,BUT1ENE,0,8,4,0,0,0
261,CPENT2ENE,0,10,5,0,0,0
262,TPENT2ENE,0,10,5,0,0,0
263,CHEX2ENE,0,12,6,0,0,0
264,THEX2ENE,0,12,6,0,0,0
265,RU14NO3,1,0,0,0,0,0
266,NRU14O2,1,0,0,0,0,0
267,ME2BUT2ENE,0,10,5,0,0,0
268,CBUT2ENE,0,8,4,0,0,0
269,RN8OOH,1,0,0,0,0,0
270,NRN6O2,1,0,0,0,0,0
271,RE6O2,1,0,0,0,0,0
272,TBUT2ENE,0,8,4,0,0,0
273,RE15O2,1,0,0,0,0,0
274,RC18O2,1,0,0,0,0,0
275,CYHEXONE,0,10,6,0,1,0
276,CARB9,1,0,0,0,0,0
277,HCOOH,0,2,1,0,2,0
278,ME2BUT1ENE,0,10,5,0,0,0
279,ME3BUT1ENE,0,10,5,0,0,0
280,C4H6,0,6,4,0,0,0
281,NRTN28O2,1,0,0,0,0,0
282,NOA,0,5,3,1,4,0
283,RA19NO3,1,0,0,0,0,0
284,UDCARB17,1,0,0,0,0,0
285,UDCARB20,1,0,0,0,0,0
286,MPAN,0,5,4,1,5,0
287,RI17O2,1,0,0,0,0,0
288,CARB11A,1,0,0,0,0,0
289,UDCARB8,1,0,0,0,0,0
290,NRI12O2,1,0,0,0,0,0
291,RA22AO2,1,0,0,0,0,0
292,IPRCHO,0,8,4,0,1,0
293,RU12NO3,1,0,0,0,0,0
294,RI11O2,1,0,0,0,0,0
295,HEX1ENE,0,12,6,0,0,0
296,RU10NO3,1,0,0,0,0,0
297,CARB31,1,0,0,0,0,0
298,CARB28,1,0,0,0,0,0
299,CARB34,1,0,0,0,0,0
300,CARB25,1,0,0,0,0,0
301,NRN18O2,1,0,0,0,0,0
302,RTN24O2,1,0,0,0,0,0
303,BPINENE,0,16,10,0,0,0
304,TNCARB10,1,0,0,0,0,0
305,RU10OOH,1,0,0,0,0,0
306,RA16BO2,1,0,0,0,0,0
307,STYRENE,0,8,8,0,0,0
308,CARB19,1,0,0,0,0,0
309,CARB22,1,0,0,0,0,0
310,NRN12O2,1,0,0,0,0,0
311,O,0,0,0,0,1,0
312,RA13O2,1,0,0,0,0,0
313,RE12O2,1,0,0,0,0,0
314,RE18O2,1,0,0,0,0,0
315,RN19BO2,1,0,0,0,0,0
316,APINENE,0,16,10,0,0,0
317,TNCARB26,1,0,0,0,0,0
318,MEPROPENE,0,8,4,0,0,0
319,NRTX28O2,1,0,0,0,0,0
320,CARB13,1,0,0,0,0,0
321,RI15O2,1,0,0,0,0,0
322,RUA20O2,1,0,0,0,0,0
323,NRI15O2,1,0,0,0,0,0
324,RTN23O2,1,0,0,0,0,0
325,RTN10O2,1,0,0,0,0,0
326,NUCARB12,1,0,0,0,0,0
327,RU11O2,1,0,0,0,0,0
328,RI12O2,1,0,0,0,0,0
329,RA28O2,1,0,0,0,0,0
330,RA19AO2,1,0,0,0,0,0
331,UDCARB14,1,0,0,0,0,0
332,HPUCARB12,1,0,0,0,0,0
333,RA25O2,1,0,0,0,0,0
334,RC16O2,1,0,0,0,0,0
335,RC14O2,1,0,0,0,0,0
336,RI16AO2,1,0,0,0,0,0
337,BENZAL,0,6,7,0,1,0
338,UDCARB11,1,0,0,0,0,0
339,RN16AO2,1,0,0,0,0,0
340,CARB16,1,0,0,0,0,0
341,C3H6,0,6,3,0,0,0
342,NRN9O2,1,0,0,0,0,0
343,RN37O2,1,0,0,0,0,0
344,RN35O2,1,0,0,0,0,0
345,RN36O2,1,0,0,0,0,0
346,RN36AO2,1,0,0,0,0,0
347,CARB17,1,0,0,0,0,0
348,RN34AO2,1,0,0,0,0,0
349,RN34O2,1,0,0,0,0,0
350,RN32O2,1,0,0,0,0,0
351,RN31O2,1,0,0,0,0,0
352,RN30O2,1,0,0,0,0,0
353,RN30AO2,1,0,0,0,0,0
354,RN33AO2,1,0,0,0,0,0
355,RN29O2,1,0,0,0,0,0
356,RN33O2,1,0,0,0,0,0
357,CARB14,1,0,0,0,0,0
358,DHPR12O2,1,0,0,0,0,0
359,NRN15O2,1,0,0,0,0,0
360,RA16O2,1,0,0,0,0,0
361,RI13O2,1,0,0,0,0,0
362,IC3H7O2,0,7,3,0,2,0
363,CARB3,1,0,0,0,0,0
364,RI16O2,1,0,0,0,0,0
365,RI14O2,1,0,0,0,0,0
366,NRU12O2,1,0,0,0,0,0
367,C5H8,0,8,5,0,0,0
368,RTX28O2,1,0,0,0,0,0
369,C2H4,0,4,2,0,0,0
370,RTN28O2,1,0,0,0,0,0
371,CH3COCH3,0,6,3,0,1,0
372,HNO3,0,1,0,1,3,0
373,ARNOH14,1,0,0,0,0,0
374,RU10AO2,1,0,0,0,0,0
375,RTN14O2,1,0,0,0,0,0
376,CO,0,0,1,0,1,0
377,HOCH2CO3,0,3,2,0,4,0
378,RA19BO2,1,0,0,0,0,0
379,CARB6,1,0,0,0,0,0
380,RU10O2,1,0,0,0,0,0
381,RN23O2,1,0,0,0,0,0
382,RN31AO2,1,0,0,0,0,0
383,RN28AO2,1,0,0,0,0,0
384,RN28O2,1,0,0,0,0,0
385,RN26O2,1,0,0,0,0,0
386,RN27AO2,1,0,0,0,0,0
387,RN27O2,1,0,0,0,0,0
388,CARB11,1,0,0,0,0,0
389,RN25AO2,1,0,0,0,0,0
390,RN25O2,1,0,0,0,0,0
391,RN24AO2,1,0,0,0,0,0
392,RN24O2,1,0,0,0,0,0
393,RN22AO2,1,0,0,0,0,0
394,RN22O2,1,0,0,0,0,0
395,RN20O2,1,0,0,0,0,0
396,RN21AO2,1,0,0,0,0,0
397,RN21O2,1,0,0,0,0,0
398,RN19AO2,1,0,0,0,0,0
399,CARB7,1,0,0,0,0,0
400,RU12O2,1,0,0,0,0,0
401,RA22BO2,1,0,0,0,0,0
402,C2H5CO3,0,5,3,0,3,0
403,HOCH2CH2O2,0,5,2,0,3,0
404,UCARB10,1,0,0,0,0,0
405,RN13AO2,1,0,0,0,0,0
406,RN19O2,1,0,0,0,0,0
407,RN18O2,1,0,0,0,0,0
408,RN18AO2,1,0,0,0,0,0
409,RI19O2,1,0,0,0,0,0
410,RA19CO2,1,0,0,0,0,0
411,HOCH2CHO,0,4,2,0,2,0
