! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_T1_BiadjacencyMatrix.csv
! Equation file        : MOZART_T1.kpp
! Output root filename : MOZART_T1
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
OH,148,85,-1
O,135,86,-1
NO2,147,86,-1
NO,153,86,1
NO2,147,87,-1
NO3,150,87,1
O3,151,87,-1
O,135,88,-1
NO2,147,88,-1
NO3,150,88,1
NO2,147,89,1
OH,148,89,1
HO2,149,89,-1
NO3,150,89,-1
NO2,147,90,2
NO3,150,90,-1
NO,153,90,-1
O,135,91,-1
NO2,147,91,1
NO3,150,91,-1
NO2,147,92,1
OH,148,92,-1
HO2,149,92,1
NO3,150,92,-1
NO2,147,93,1
OH,148,93,1
HO2,149,93,-1
NO,153,93,-1
NO2,147,94,1
O3,151,94,-1
NO,153,94,-1
O,135,95,-1
NO2,147,95,1
NO,153,95,-1
N2O,18,96,-1
O1D,106,96,-1
NO,153,96,2
N2O,18,97,-1
O1D,106,97,-1
HO2NO2,45,98,1
NO2,147,98,-1
HO2,149,98,-1
N2O5,29,99,1
NO2,147,99,-1
NO3,150,99,-1
HNO3,70,100,1
NO2,147,100,-1
OH,148,100,-1
HNO3,70,101,-1
OH,148,101,-1
NO3,150,101,1
HO2NO2,45,102,-1
NO2,147,102,1
HO2,149,102,1
N2O5,29,103,-1
NO2,147,103,1
NO3,150,103,1
HOCH2OO,65,104,1
CH2O,146,104,-1
HO2,149,104,-1
HNO3,70,105,1
CO,123,105,1
CH2O,146,105,-1
HO2,149,105,1
NO3,150,105,-1
CO,123,106,1
O,135,106,-1
CH2O,146,106,-1
OH,148,106,1
HO2,149,106,1
VOC_OH,13,107,1
CO,123,107,1
CH2O,146,107,-1
OH,148,107,-1
HO2,149,107,1
RO2_RO2,10,108,1
CH2O,146,108,2
HO2,149,108,2
CH3O2,155,108,-2
RO2_RO2,10,109,1
CH3OH,107,109,1
CH2O,146,109,1
CH3O2,155,109,-2
RO2_HO2,11,110,1
CH3OOH,47,110,1
HO2,149,110,-1
CH3O2,155,110,-1
RO2_NO,12,111,1
CH2O,146,111,1
NO2,147,111,1
HO2,149,111,1
NO,153,111,-1
CH3O2,155,111,-1
VOC_OH,13,112,1
CH3OH,107,112,-1
CH2O,146,112,1
OH,148,112,-1
HO2,149,112,1
VOC_OH,13,113,1
CH3OOH,47,113,-1
CH2O,146,113,0.3
OH,148,113,-0.7
CH3O2,155,113,0.7
VOC_OH,13,114,1
CH4,87,114,-1
OH,148,114,-1
CH3O2,155,114,1
VOC_OH,13,115,1
HCN,28,115,-1
OH,148,115,-1
HO2,149,115,1
VOC_OH,13,116,1
HCOOH,103,116,-1
OH,148,116,-1
HO2,149,116,1
RO2_HO2,11,117,1
HOCH2OO,65,117,-1
HCOOH,103,117,1
HO2,149,117,-1
HOCH2OO,65,118,-1
CH2O,146,118,1
HO2,149,118,1
RO2_NO,12,119,1
HOCH2OO,65,119,-1
HCOOH,103,119,1
NO2,147,119,1
HO2,149,119,1
NO,153,119,-1
HCN,28,120,-1
O1D,106,120,-1
OH,148,120,1
VOC_OH,13,121,1
CO,123,121,-1
OH,148,121,-1
HO2,149,121,1
VOC_OH,13,122,1
C2H2,24,122,-1
HCOOH,103,122,0.35
GLYOXAL,109,122,0.65
CO,123,122,0.35
OH,148,122,-0.35
HO2,149,122,0.35
C2H4,60,123,-1
HCOOH,103,123,0.37
CO,123,123,0.63
CH2O,146,123,1
OH,148,123,0.13
HO2,149,123,0.13
O3,151,123,-1
RO2_RO2,10,124,1
C2H5OH,40,124,0.4
C2H5O2,108,124,-2
CH3CHO,129,124,1.6
HO2,149,124,1.2
RO2_RO2,10,125,1
C2H5OH,40,125,0.2
CH3OH,107,125,0.3
C2H5O2,108,125,-1
CH3CHO,129,125,0.8
CH2O,146,125,0.7
HO2,149,125,1
CH3O2,155,125,-1
RO2_HO2,11,126,1
C2H5OOH,53,126,1
C2H5O2,108,126,-1
HO2,149,126,-1
RO2_NO,12,127,1
C2H5O2,108,127,-1
CH3CHO,129,127,1
NO2,147,127,1
HO2,149,127,1
NO,153,127,-1
VOC_OH,13,128,1
C2H5OH,40,128,-1
CH3CHO,129,128,1
OH,148,128,-1
HO2,149,128,1
VOC_OH,13,129,1
C2H5OOH,53,129,-1
C2H5O2,108,129,0.5
CH3CHO,129,129,0.5
OH,148,129,-0.5
VOC_OH,13,130,1
C2H6,15,130,-1
C2H5O2,108,130,1
OH,148,130,-1
HNO3,70,131,1
CH3CHO,129,131,-1
NO3,150,131,-1
CH3CO3,152,131,1
VOC_OH,13,132,1
CH3CHO,129,132,-1
OH,148,132,-1
CH3CO3,152,132,1
VOC_OH,13,133,1
CH3CN,17,133,-1
OH,148,133,-1
HO2,149,133,1
RO2_RO2,10,134,1
CH3CO3,152,134,-2
CH3O2,155,134,2
RO2_RO2,10,135,1
CH3COOH,61,135,0.1
CH2O,146,135,1
HO2,149,135,0.9
CH3CO3,152,135,-1
CH3O2,155,135,-0.1
RO2_HO2,11,136,1
CH3COOH,61,136,0.15
CH3COOOH,68,136,0.4
OH,148,136,0.45
HO2,149,136,-1
O3,151,136,0.15
CH3CO3,152,136,-1
CH3O2,155,136,0.45
RO2_NO,12,137,1
NO2,147,137,1
CH3CO3,152,137,-1
NO,153,137,-1
CH3O2,155,137,1
VOC_OH,13,138,1
CH3COOH,61,138,-1
OH,148,138,-1
CH3O2,155,138,1
VOC_OH,13,139,1
CH3COOOH,68,139,-1
CH2O,146,139,0.5
OH,148,139,-1
CH3CO3,152,139,0.5
RO2_HO2,11,140,1
EOOH,20,140,1
EO2,90,140,-1
HO2,149,140,-1
RO2_NO,12,141,1
EO,42,141,0.75
EO2,90,141,-1
CH2O,146,141,0.5
NO2,147,141,1
HO2,149,141,0.25
NO,153,141,-1
EO,42,142,-1
CH2O,146,142,2
HO2,149,142,1
EO,42,143,-1
GLYALD,124,143,1
HO2,149,143,1
VOC_OH,13,144,1
GLYOXAL,109,144,0.2
GLYALD,124,144,-1
CH2O,146,144,0.8
OH,148,144,-1
HO2,149,144,1
VOC_OH,13,145,1
GLYOXAL,109,145,-1
CO,123,145,1
OH,148,145,-1
HO2,149,145,1
VOC_OH,13,146,1
PAN,71,146,-1
CH2O,146,146,1
OH,148,146,-1
NO3,150,146,1
VOC_OH,13,147,1
C2H4,60,147,-1
EO2,90,147,1
OH,148,147,-1
PAN,71,148,1
NO2,147,148,-1
CH3CO3,152,148,-1
PAN,71,149,-1
NO2,147,149,1
CH3CO3,152,149,1
NOA,119,150,1
C3H6,128,150,-1
NO3,150,150,-1
CH3COOH,61,151,0.12
CH4,87,151,0.1
HCOOH,103,151,0.12
CO,123,151,0.56
C3H6,128,151,-1
CH3CHO,129,151,0.5
CH2O,146,151,0.5
OH,148,151,0.36
HO2,149,151,0.28
O3,151,151,-1
CH3O2,155,151,0.28
RO2_RO2,10,152,1
C3H7O2,105,152,-1
CH3COCH3,122,152,0.82
CH2O,146,152,1
HO2,149,152,1
CH3O2,155,152,-1
RO2_HO2,11,153,1
C3H7OOH,56,153,1
C3H7O2,105,153,-1
HO2,149,153,-1
RO2_NO,12,154,1
C3H7O2,105,154,-1
CH3COCH3,122,154,0.82
CH3CHO,129,154,0.27
NO2,147,154,1
HO2,149,154,1
NO,153,154,-1
VOC_OH,13,155,1
C3H7OOH,56,155,-1
C3H7O2,105,155,1
OH,148,155,-1
VOC_OH,13,156,1
C3H8,16,156,-1
C3H7O2,105,156,1
OH,148,156,-1
HNO3,70,157,1
CO,123,157,1
CH3COCHO,138,157,-1
NO3,150,157,-1
CH3CO3,152,157,1
VOC_OH,13,158,1
CO,123,158,1
CH3COCHO,138,158,-1
OH,148,158,-1
CH3CO3,152,158,1
VOC_OH,13,159,1
HYAC,136,159,-1
CH3COCHO,138,159,1
OH,148,159,-1
HO2,149,159,1
NOA,119,160,-1
CH3COCHO,138,160,1
NO2,147,160,1
OH,148,160,-1
RO2_HO2,11,161,1
POOH,74,161,1
PO2,96,161,-1
HO2,149,161,-1
RO2_NO,12,162,1
PO2,96,162,-1
CH3CHO,129,162,1
CH2O,146,162,1
NO2,147,162,1
HO2,149,162,1
NO,153,162,-1
POOH,74,163,-1
PO2,96,163,0.5
HYAC,136,163,0.5
OH,148,163,-0.5
RO2_RO2,10,164,1
CH3OH,107,164,0.5
RO2,134,164,-1
HYAC,136,164,0.2
CH3COCHO,138,164,0.5
CH2O,146,164,0.8
HO2,149,164,0.3
CH3CO3,152,164,0.3
CH3O2,155,164,-1
RO2_HO2,11,165,1
ROOH,55,165,0.85
RO2,134,165,-1
CH2O,146,165,0.15
OH,148,165,0.15
HO2,149,165,-1
CH3CO3,152,165,0.15
RO2_NO,12,166,1
RO2,134,166,-1
CH2O,146,166,1
NO2,147,166,1
CH3CO3,152,166,1
NO,153,166,-1
ROOH,55,167,-1
RO2,134,167,1
OH,148,167,-1
VOC_OH,13,168,1
PO2,96,168,1
C3H6,128,168,-1
OH,148,168,-1
VOC_OH,13,169,1
CH3COCH3,122,169,-1
RO2,134,169,1
OH,148,169,-1
BIGENE,59,170,-1
CH3COCH3,122,170,0.5
CH3CHO,129,170,1
CH2O,146,170,0.5
NO2,147,170,1
NO3,150,170,-1
VOC_OH,13,171,1
BIGENE,59,171,-1
ENEO2,86,171,1
OH,148,171,-1
RO2_NO,12,172,1
ENEO2,86,172,-1
CH3COCH3,122,172,0.5
CH3CHO,129,172,1
CH2O,146,172,0.5
NO2,147,172,1
HO2,149,172,1
NO,153,172,-1
RO2_NO,12,173,1
ENEO2,86,173,-1
HONITR,137,173,1
NO,153,173,-1
