species_index,reaction_index,source,target,directed_stoichiometric_value
112,111,R111,MEKP,1.0
53,112,KET,R112,-1.0
188,112,HO,R112,-1.0
125,112,R112,KETP,1.0
23,113,HKET,R113,-1.0
188,113,HO,R113,-1.0
142,113,R113,HO2,1.0
174,113,R113,MGLY,1.0
83,114,MACR,R114,-1.0
188,114,HO,R114,-1.0
55,114,R114,MACP,0.57
170,114,R114,MCP,0.43
113,115,MVK,R115,-1.0
188,115,HO,R115,-1.0
80,115,R115,MVKP,1.0
132,116,UALD,R116,-1.0
188,116,HO,R116,-1.0
81,116,R116,ACO3,0.313
149,116,R116,UALP,0.687
108,117,GLY,R117,-1.0
188,117,HO,R117,-1.0
142,117,R117,HO2,1.0
150,117,R117,CO,2.0
174,118,MGLY,R118,-1.0
188,118,HO,R118,-1.0
81,118,R118,ACO3,1.0
150,118,R118,CO,1.0
68,119,DCB1,R119,-1.0
188,119,HO,R119,-1.0
142,119,R119,HO2,0.52
150,119,R119,CO,0.33
97,119,R119,ALD,0.4
53,119,R119,KET,0.78
108,119,R119,GLY,0.1
174,119,R119,MGLY,0.01
34,120,DCB2,R120,-1.0
188,120,HO,R120,-1.0
142,120,R120,HO2,0.52
150,120,R120,CO,0.33
56,120,R120,MEK,0.13
108,120,R120,GLY,0.1
174,120,R120,MGLY,0.01
159,120,R120,OP2,0.78
189,121,DCB3,R121,-1.0
188,121,HO,R121,-1.0
142,121,R121,HO2,0.56
55,121,R121,MACP,0.21
150,121,R121,CO,0.11
108,121,R121,GLY,0.27
174,121,R121,MGLY,0.01
159,121,R121,OP2,0.79
51,122,BALD,R122,-1.0
188,122,HO,R122,-1.0
52,122,R122,BALP,1.0
183,123,PHEN,R123,-1.0
188,123,HO,R123,-1.0
143,123,R123,ASOATJ,0.152
142,123,R123,HO2,0.619
151,123,R123,ADDC,0.17
78,123,R123,CHO,0.059
186,123,R123,MCT,0.619
20,124,CSL,R124,-1.0
188,124,HO,R124,-1.0
143,124,R124,ASOATJ,0.2
142,124,R124,HO2,0.584
151,124,R124,ADDC,0.16
78,124,R124,CHO,0.056
186,124,R124,MCT,0.584
186,125,MCT,R125,-1.0
188,125,HO,R125,-1.0
71,125,R125,MCTO,1.0
127,126,MOH,R126,-1.0
188,126,HO,R126,-1.0
142,126,R126,HO2,1.0
65,126,R126,HCHO,1.0
64,127,EOH,R127,-1.0
188,127,HO,R127,-1.0
142,127,R127,HO2,1.0
50,127,R127,ACD,1.0
196,128,ROH,R128,-1.0
188,128,HO,R128,-1.0
142,128,R128,HO2,1.0
97,128,R128,ALD,0.719
50,128,R128,ACD,0.184
45,129,ETEG,R129,-1.0
188,129,HO,R129,-1.0
142,129,R129,HO2,1.0
97,129,R129,ALD,1.0
134,130,OP1,R130,-1.0
188,130,HO,R130,-1.0
188,130,R130,HO,0.35
128,130,R130,MO2,0.65
65,130,R130,HCHO,0.35
159,131,OP2,R131,-1.0
188,131,HO,R131,-1.0
188,131,R131,HO,0.01
41,131,R131,HC3P,0.44
176,131,R131,XO2,0.07
97,131,R131,ALD,0.08
53,131,R131,KET,0.41
156,132,OPB,R132,-1.0
188,132,HO,R132,-1.0
188,132,R132,HO,0.01
85,132,R132,HC10P,0.44
176,132,R132,XO2,0.07
97,132,R132,ALD,0.08
53,132,R132,KET,0.41
139,133,OP3,R133,-1.0
188,133,HO,R133,-1.0
188,133,R133,HO,0.01
85,133,R133,HC10P,0.44
176,133,R133,XO2,0.07
97,133,R133,ALD,0.08
53,133,R133,KET,0.41
93,134,MAHP,R134,-1.0
188,134,HO,R134,-1.0
55,134,R134,MACP,1.0
46,135,ORA1,R135,-1.0
188,135,HO,R135,-1.0
142,135,R135,HO2,1.0
163,136,ORA2,R136,-1.0
188,136,HO,R136,-1.0
128,136,R136,MO2,0.64
16,136,R136,ORAP,0.36
133,137,PAA,R137,-1.0
188,137,HO,R137,-1.0
188,137,R137,HO,0.35
81,137,R137,ACO3,0.65
176,137,R137,XO2,0.35
65,137,R137,HCHO,0.35
70,138,PAN,R138,-1.0
188,138,HO,R138,-1.0
176,138,R138,XO2,1.0
110,138,R138,NO3,1.0
65,138,R138,HCHO,1.0
130,139,PPN,R139,-1.0
188,139,HO,R139,-1.0
176,139,R139,XO2,1.0
110,139,R139,NO3,1.0
65,139,R139,HCHO,1.0
89,140,MPAN,R140,-1.0
188,140,HO,R140,-1.0
126,140,R140,NO2,1.0
23,140,R140,HKET,1.0
90,141,ONIT,R141,-1.0
188,141,HO,R141,-1.0
41,141,R141,HC3P,1.0
126,141,R141,NO2,1.0
115,142,TRPN,R142,-1.0
188,142,HO,R142,-1.0
19,142,R142,HONIT,0.33
126,142,R142,NO2,0.67
165,142,R142,PINAL,0.27
53,142,R142,KET,0.38
65,142,R142,HCHO,0.21
97,142,R142,ALD,0.02
19,143,HONIT,R143,-1.0
188,143,HO,R143,-1.0
23,143,R143,HKET,1.0
110,143,R143,NO3,1.0
54,144,ETE,R144,-1.0
195,144,O3,R144,-1.0
188,144,R144,HO,0.08
142,144,R144,HO2,0.15
150,144,R144,CO,0.43
65,144,R144,HCHO,1.0
46,144,R144,ORA1,0.37
136,145,OLT,R145,-1.0
195,145,O3,R145,-1.0
188,145,R145,HO,0.22
142,145,R145,HO2,0.32
128,145,R145,MO2,0.08
18,145,R145,ETHP,0.06
41,145,R145,HC3P,0.04
120,145,R145,HC5P,0.02
49,145,R145,H2O2,0.068
150,145,R145,CO,0.43
24,145,R145,ETH,0.02
191,145,R145,HC3,0.015
172,145,R145,HC5,0.006
13,145,R145,BEN,0.032
65,145,R145,HCHO,0.56
50,145,R145,ACD,0.01
97,145,R145,ALD,0.44
27,145,R145,ACT,0.03
51,145,R145,BALD,0.02
56,145,R145,MEK,0.06
23,145,R145,HKET,0.01
46,145,R145,ORA1,0.03
163,145,R145,ORA2,0.06
121,146,OLI,R146,-1.0
195,146,O3,R146,-1.0
188,146,R146,HO,0.46
142,146,R146,HO2,0.07
128,146,R146,MO2,0.32
18,146,R146,ETHP,0.07
41,146,R146,HC3P,0.04
81,146,R146,ACO3,0.09
150,146,R146,CO,0.37
49,146,R146,H2O2,0.026
24,146,R146,ETH,0.01
191,146,R146,HC3,0.01
65,146,R146,HCHO,0.09
50,146,R146,ACD,0.457
97,146,R146,ALD,0.73
27,146,R146,ACT,0.11
53,146,R146,KET,0.017
23,146,R146,HKET,0.044
163,146,R146,ORA2,0.017
4,147,API,R147,-1.0
195,147,O3,R147,-1.0
188,147,R147,HO,0.6055
33,147,R147,PINALP,0.2145
49,147,R147,H2O2,0.255
165,147,R147,PINAL,0.2535
163,147,R147,ORA2,0.0065
142,147,R147,HO2,0.1105
150,147,R147,CO,0.1105
65,147,R147,HCHO,0.459
62,147,R147,RCO3,0.2805
53,147,R147,KET,0.1785
191,147,R147,HC3,0.0665
