original r_id,species_index,reaction_index,source,target,directed_stoichiometric_value
ROCARO41,182,90,HO,R90,-1.0
ROCARO41,66,90,R90,TOLP,0.82
ROCARO41,128,90,R90,CSL,0.18
ROCARO41,187,90,R90,HO2,0.18
ROCARO51,126,91,XYL,R91,-1.0
ROCARO51,182,91,HO,R91,-1.0
ROCARO51,146,91,R91,XYLP,0.83
ROCARO51,128,91,R91,CSL,0.17
ROCARO51,187,91,R91,HO2,0.17
ROCARO61,216,92,EBZ,R92,-1.0
ROCARO61,182,92,HO,R92,-1.0
ROCARO61,65,92,R92,EBZP,0.82
ROCARO61,128,92,R92,CSL,0.18
ROCARO61,187,92,R92,HO2,0.18
ROCARO61a,216,93,EBZ,R93,-1.0
ROCARO61a,122,93,NO3,R93,-1.0
ROCARO61a,65,93,R93,EBZP,1.0
ROCARO61a,165,93,R93,HNO3,1.0
RAM01,40,94,ISO,R94,-1.0
RAM01,209,94,O3,R94,-1.0
RAM01,182,94,R94,HO,0.25
RAM01,187,94,R94,HO2,0.25
RAM01,26,94,R94,MO2,0.4
RAM01,30,94,R94,ACO3,0.018
RAM01,82,94,R94,MACP,0.1
RAM01,162,94,R94,H2O2,0.09
RAM01,97,94,R94,CO,0.22
RAM01,90,94,R94,HCHO,1.0
RAM01,138,94,R94,MACR,0.3
RAM01,113,94,R94,MVK,0.14
RAM01,10,94,R94,ORA1,0.28
RAM01,14,94,R94,OLT,0.153
RAM02,40,95,ISO,R95,-1.0
RAM02,122,95,NO3,R95,-1.0
RAM02,56,95,R95,NO2,0.4
RAM02,196,95,R95,ISON,0.045
RAM02,90,95,R95,HCHO,0.35
RAM02,84,95,R95,ISONP,0.555
RAM02,113,95,R95,MVK,0.26
RAM02,138,95,R95,MACR,0.028
RAM03,40,96,ISO,R96,-1.0
RAM03,182,96,HO,R96,-1.0
RAM03,11,96,R96,ISOP,1.0
RAM03,90,96,R96,HCHO,0.25
RAM03,138,96,R96,MACR,0.03
RAM03,106,96,R96,MGLY,0.05
RAM04,11,97,ISOP,R97,-1.0
RAM04,187,97,HO2,R97,-1.0
RAM04,145,97,R97,ISHP,1.0
RAM04,187,97,R97,HO2,0.07
RAM04,182,97,R97,HO,0.5
RAM05,11,98,ISOP,R98,-1.0
RAM05,204,98,NO,R98,-1.0
RAM05,196,98,R98,ISON,0.13
RAM05,90,98,R98,HCHO,0.4
RAM05,187,98,R98,HO2,0.88
RAM05,56,98,R98,NO2,0.87
RAM05,138,98,R98,MACR,0.18
RAM05,113,98,R98,MVK,0.51
RAM06,145,99,ISHP,R99,-1.0
RAM06,182,99,HO,R99,-1.0
RAM06,11,99,R99,ISOP,1.0
RAM07,145,100,ISHP,R100,-1.0
RAM07,182,100,HO,R100,-1.0
RAM07,106,100,R100,MGLY,0.04
RAM07,183,100,R100,GLY,0.02
RAM07,113,100,R100,MVK,0.13
RAM07,189,100,R100,IEPOX,0.44
RAM07,30,100,R100,ACO3,0.11
RAM07,138,100,R100,MACR,0.03
RAM07,182,100,R100,HO,2.0
RAM07,187,100,R100,HO2,0.34
RAM07,102,100,R100,IPX,0.14
RAM07,97,100,R100,CO,1.0
RAM08,84,101,ISONP,R101,-1.0
RAM08,187,101,HO2,R101,-1.0
RAM08,182,101,R101,HO,0.45
RAM08,226,101,R101,INALD,0.95
RAM08,102,101,R101,IPX,0.02
RAM09,84,102,ISONP,R102,-1.0
RAM09,204,102,NO,R102,-1.0
RAM09,113,102,R102,MVK,0.15
RAM09,226,102,R102,INALD,0.65
RAM09,196,102,R102,ISON,0.05
RAM09,90,102,R102,HCHO,0.2
RAM09,56,102,R102,NO2,1.3
RAM10,196,103,ISON,R103,-1.0
RAM10,182,103,HO,R103,-1.0
RAM10,182,103,R103,HO,1.0
RAM10,226,103,R103,INALD,0.35
RAM10,189,103,R103,IEPOX,0.17
RAM10,56,103,R103,NO2,0.65
RAM11,182,104,HO,R104,-1.0
RAM11,226,104,INALD,R104,-1.0
RAM11,97,104,R104,CO,1.0
RAM11,56,104,R104,NO2,1.0
RAM11,187,104,R104,HO2,0.3
RAM11,90,104,R104,HCHO,1.0
RAM12,196,105,ISON,R105,-1.0
RAM12,165,105,R105,HNO3,1.0
RAM12,140,105,R105,ROH,1.0
RAM13,102,106,IPX,R106,-1.0
RAM13,182,106,HO,R106,-1.0
RAM13,138,106,R106,MACR,0.57
RAM13,113,106,R106,MVK,0.43
R087,193,107,API,R107,-1.0
R087,182,107,HO,R107,-1.0
R087,18,107,R107,APIP1,0.975
R087,161,107,R107,APIP2,0.025
R088,141,108,LIM,R108,-1.0
R088,182,108,HO,R108,-1.0
R088,34,108,R108,LIMP1,0.945
R088,103,108,R108,LIMP2,0.055
TRP04,154,109,PINAL,R109,-1.0
TRP04,182,109,HO,R109,-1.0
TRP04,69,109,R109,PINALP,0.23
TRP04,173,109,R109,RCO3,0.77
TRP05,171,110,LIMAL,R110,-1.0
TRP05,182,110,HO,R110,-1.0
TRP05,147,110,R110,LIMALP,0.83
TRP05,173,110,R110,RCO3,0.17
R089,90,111,HCHO,R111,-1.0
R089,182,111,HO,R111,-1.0
R089,187,111,R111,HO2,1.0
R089,97,111,R111,CO,1.0
R090,186,112,ACD,R112,-1.0
R090,182,112,HO,R112,-1.0
R090,30,112,R112,ACO3,1.0
R091,190,113,ALD,R113,-1.0
R091,182,113,HO,R113,-1.0
R091,173,113,R113,RCO3,1.0
R092,5,114,ACT,R114,-1.0
R092,182,114,HO,R114,-1.0
R092,208,114,R114,ACTP,1.0
R093,94,115,MEK,R115,-1.0
R093,182,115,HO,R115,-1.0
R093,202,115,R115,MEKP,1.0
R094,188,116,KET,R116,-1.0
R094,182,116,HO,R116,-1.0
R094,148,116,R116,KETP,1.0
R095,57,117,HKET,R117,-1.0
R095,182,117,HO,R117,-1.0
R095,187,117,R117,HO2,1.0
R095,106,117,R117,MGLY,1.0
R096,138,118,MACR,R118,-1.0
R096,182,118,HO,R118,-1.0
R096,82,118,R118,MACP,0.57
R096,170,118,R118,MCP,0.43
R097,113,119,MVK,R119,-1.0
R097,182,119,HO,R119,-1.0
R097,67,119,R119,MVKP,1.0
R098,206,120,UALD,R120,-1.0
R098,182,120,HO,R120,-1.0
R098,30,120,R120,ACO3,0.313
R098,74,120,R120,UALP,0.687
R099,183,121,GLY,R121,-1.0
R099,182,121,HO,R121,-1.0
R099,187,121,R121,HO2,1.0
R099,97,121,R121,CO,2.0
R100,106,122,MGLY,R122,-1.0
R100,182,122,HO,R122,-1.0
R100,30,122,R122,ACO3,1.0
R100,97,122,R122,CO,1.0
R101,127,123,DCB1,R123,-1.0
R101,182,123,HO,R123,-1.0
R101,187,123,R123,HO2,0.52
R101,97,123,R123,CO,0.33
R101,190,123,R123,ALD,0.4
R101,188,123,R123,KET,0.78
R101,183,123,R123,GLY,0.1
R101,106,123,R123,MGLY,0.01
R102,108,124,DCB2,R124,-1.0
R102,182,124,HO,R124,-1.0
R102,187,124,R124,HO2,0.52
R102,97,124,R124,CO,0.33
R102,94,124,R124,MEK,0.13
R102,183,124,R124,GLY,0.1
R102,106,124,R124,MGLY,0.01
R102,124,124,R124,OP2,0.78
R103,115,125,DCB3,R125,-1.0
R103,182,125,HO,R125,-1.0
R103,187,125,R125,HO2,0.56
R103,82,125,R125,MACP,0.21
R103,97,125,R125,CO,0.11
R103,183,125,R125,GLY,0.27
R103,106,125,R125,MGLY,0.01
R103,124,125,R125,OP2,0.79
R104,51,126,BALD,R126,-1.0
R104,182,126,HO,R126,-1.0
R104,91,126,R126,BALP,1.0
R105,197,127,PHEN,R127,-1.0
R105,182,127,HO,R127,-1.0
R105,52,127,R127,ASOATJ,0.152
R105,187,127,R127,HO2,0.619
R105,200,127,R127,ADDC,0.17
R105,194,127,R127,CHO,0.059
R105,152,127,R127,MCT,0.619
R106,128,128,CSL,R128,-1.0
R106,182,128,HO,R128,-1.0
R106,52,128,R128,ASOATJ,0.2
R106,187,128,R128,HO2,0.584
R106,200,128,R128,ADDC,0.16
R106,194,128,R128,CHO,0.056
R106,152,128,R128,MCT,0.584
R108,152,129,MCT,R129,-1.0
R108,182,129,HO,R129,-1.0
R108,217,129,R129,MCTO,1.0
R109,224,130,MOH,R130,-1.0
R109,182,130,HO,R130,-1.0
R109,187,130,R130,HO2,1.0
R109,90,130,R130,HCHO,1.0
R110,150,131,EOH,R131,-1.0
R110,182,131,HO,R131,-1.0
R110,187,131,R131,HO2,1.0
R110,186,131,R131,ACD,1.0
R111,140,132,ROH,R132,-1.0
R111,182,132,HO,R132,-1.0
R111,187,132,R132,HO2,1.0
R111,190,132,R132,ALD,0.719
R111,186,132,R132,ACD,0.184
R112,48,133,ETEG,R133,-1.0
R112,182,133,HO,R133,-1.0
R112,187,133,R133,HO2,1.0
R112,186,133,R133,ACD,1.0
R113,205,134,OP1,R134,-1.0
R113,182,134,HO,R134,-1.0
R113,182,134,R134,HO,0.35
R113,26,134,R134,MO2,0.65
R113,90,134,R134,HCHO,0.35
R114,124,135,OP2,R135,-1.0
R114,182,135,HO,R135,-1.0
R114,182,135,R135,HO,0.01
R114,116,135,R135,HC3P,0.44
R114,110,135,R135,XO2,0.07
R114,190,135,R135,ALD,0.08
R114,188,135,R135,KET,0.41
TRP06,77,136,OPB,R136,-1.0
TRP06,182,136,HO,R136,-1.0
TRP06,182,136,R136,HO,0.01
TRP06,4,136,R136,HC10P,0.44
TRP06,110,136,R136,XO2,0.07
TRP06,190,136,R136,ALD,0.08
TRP06,188,136,R136,KET,0.41
R116,50,137,MAHP,R137,-1.0
R116,182,137,HO,R137,-1.0
R116,82,137,R137,MACP,1.0
R117,10,138,ORA1,R138,-1.0
R117,182,138,HO,R138,-1.0
R117,187,138,R138,HO2,1.0
R117,207,138,R138,CO2,1.0
R118,177,139,ORA2,R139,-1.0
R118,182,139,HO,R139,-1.0
R118,26,139,R139,MO2,0.64
R118,20,139,R139,ORAP,0.36
R118,207,139,R139,CO2,0.64
R119,181,140,PAA,R140,-1.0
R119,182,140,HO,R140,-1.0
R119,182,140,R140,HO,0.35
R119,30,140,R140,ACO3,0.65
R119,110,140,R140,XO2,0.35
R119,90,140,R140,HCHO,0.35
R120,19,141,PAN,R141,-1.0
R120,182,141,HO,R141,-1.0
R120,110,141,R141,XO2,1.0
R120,122,141,R141,NO3,1.0
R120,90,141,R141,HCHO,1.0
R121,33,142,PPN,R142,-1.0
R121,182,142,HO,R142,-1.0
R121,110,142,R142,XO2,1.0
R121,122,142,R142,NO3,1.0
R121,90,142,R142,HCHO,1.0
R122,185,143,MPAN,R143,-1.0
R122,182,143,HO,R143,-1.0
R122,56,143,R143,NO2,1.0
R122,57,143,R143,HKET,1.0
R122,97,143,R143,CO,1.0
R123,203,144,ONIT,R144,-1.0
R123,182,144,HO,R144,-1.0
R123,116,144,R144,HC3P,1.0
R123,56,144,R144,NO2,1.0
TRP07,176,145,VTRPN,R145,-1.0
TRP07,182,145,HO,R145,-1.0
TRP07,37,145,R145,VHONIT,0.33
TRP07,56,145,R145,NO2,0.67
TRP07,154,145,R145,PINAL,0.27
TRP07,188,145,R145,KET,0.38
TRP07,90,145,R145,HCHO,0.21
TRP07,190,145,R145,ALD,0.02
TRP57,37,146,VHONIT,R146,-1.0
TRP57,182,146,HO,R146,-1.0
TRP57,57,146,R146,HKET,1.0
TRP57,122,146,R146,NO3,1.0
