! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mech_EdgeList.csv
! Equation file        : mech.kpp
! Output root filename : mech
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
159,119,HO,R119,-1
159,119,R119,HO,0.35
166,119,R119,ACO3,0.65
75,120,PAN,R120,-1
149,120,R120,XO2,1
151,120,R120,HCHO,1
159,120,HO,R120,-1
163,120,R120,NO3,1
57,121,PPN,R121,-1
149,121,R121,XO2,1
151,121,R121,HCHO,1
159,121,HO,R121,-1
163,121,R121,NO3,1
58,122,MPAN,R122,-1
98,122,R122,HKET,1
159,122,HO,R122,-1
162,122,R122,NO2,1
133,123,ONIT,R123,-1
159,123,HO,R123,-1
162,123,R123,NO2,1
165,123,R123,HC3P,1
41,124,NALD,R124,-1
98,124,R124,HKET,1
149,124,R124,XO2,1
159,124,HO,R124,-1
162,124,R124,NO2,1
41,125,R125,NALD,1
67,125,ISON,R125,-1
98,125,R125,HKET,0.07
151,125,R125,HCHO,0.07
159,125,HO,R125,-1
68,126,R126,ORA1,0.37
87,126,R126,CO,0.43
90,126,ETE,R126,-1
151,126,R126,HCHO,1
155,126,O3,R126,-1
159,126,R126,HO,0.08
164,126,R126,HO2,0.15
39,127,R127,HC5,0.006
60,127,R127,ETH,0.02
61,127,R127,HC3,0.015
68,127,R127,ORA1,0.03
77,127,R127,H2O2,0.068
87,127,R127,CO,0.43
94,127,OLT,R127,-1
95,127,R127,MEK,0.06
96,127,R127,ACT,0.03
98,127,R127,HKET,0.01
100,127,R127,BEN,0.032
106,127,R127,BALD,0.02
142,127,R127,HC5P,0.02
150,127,R127,ACD,0.01
151,127,R127,HCHO,0.56
155,127,O3,R127,-1
156,127,R127,MO2,0.08
158,127,R127,ALD,0.44
159,127,R127,HO,0.22
160,127,R127,ORA2,0.06
161,127,R127,ETHP,0.06
164,127,R127,HO2,0.32
165,127,R127,HC3P,0.04
60,128,R128,ETH,0.01
61,128,R128,HC3,0.01
77,128,R128,H2O2,0.026
87,128,R128,CO,0.37
96,128,R128,ACT,0.11
98,128,R128,HKET,0.044
103,128,R128,KET,0.017
143,128,OLI,R128,-1
150,128,R128,ACD,0.457
151,128,R128,HCHO,0.09
155,128,O3,R128,-1
156,128,R128,MO2,0.32
158,128,R128,ALD,0.73
159,128,R128,HO,0.46
160,128,R128,ORA2,0.017
161,128,R128,ETHP,0.07
164,128,R128,HO2,0.07
165,128,R128,HC3P,0.04
166,128,R128,ACO3,0.09
68,129,R129,ORA1,0.15
77,129,R129,H2O2,0.001
87,129,R129,CO,0.36
89,129,DIEN,R129,-1
94,129,R129,OLT,0.35
126,129,R129,MACR,0.39
149,129,R129,XO2,0.13
151,129,R129,HCHO,0.9
153,129,R129,O3P,0.09
155,129,O3,R129,-1
156,129,R129,MO2,0.03
157,129,R129,KETP,0.02
159,129,R129,HO,0.28
164,129,R129,HO2,0.3
166,129,R129,ACO3,0.15
68,130,R130,ORA1,0.28
77,130,R130,H2O2,0.09
86,130,ISO,R130,-1
87,130,R130,CO,0.14
94,130,R130,OLT,0.153
107,130,R130,MVK,0.189
126,130,R130,MACR,0.461
128,130,R130,MACP,0.1
151,130,R130,HCHO,0.58
155,130,O3,R130,-1
156,130,R130,MO2,0.08
159,130,R130,HO,0.25
164,130,R130,HO2,0.25
166,130,R130,ACO3,0.1
74,131,API,R131,-1
77,131,R131,H2O2,0.02
87,131,R131,CO,0.14
103,131,R131,KET,0.53
155,131,O3,R131,-1
157,131,R131,KETP,0.42
158,131,R131,ALD,0.65
159,131,R131,HO,0.85
161,131,R131,ETHP,0.2
164,131,R131,HO2,0.1
68,132,R132,ORA1,0.01
77,132,R132,H2O2,0.02
83,132,LIM,R132,-1
87,132,R132,CO,0.14
94,132,R132,OLT,0.46
126,132,R132,MACR,0.79
151,132,R132,HCHO,0.04
155,132,O3,R132,-1
157,132,R132,KETP,0.42
159,132,R132,HO,0.85
160,132,R132,ORA2,0.07
161,132,R132,ETHP,0.16
164,132,R132,HO2,0.1
68,133,R133,ORA1,0.45
87,133,R133,CO,0.22
124,133,R133,MGLY,0.5
126,133,MACR,R133,-1
155,133,O3,R133,-1
159,133,R133,HO,0.19
164,133,R133,HO2,0.14
166,133,R133,ACO3,0.1
68,134,R134,ORA1,0.07
87,134,R134,CO,0.56
107,134,MVK,R134,-1
124,134,R134,MGLY,0.54
149,134,R134,XO2,0.01
151,134,R134,HCHO,0.1
155,134,O3,R134,-1
158,134,R134,ALD,0.1
159,134,R134,HO,0.16
160,134,R134,ORA2,0.07
164,134,R134,HO2,0.11
166,134,R134,ACO3,0.28
68,135,R135,ORA1,0.044
87,135,R135,CO,0.243
103,135,R135,KET,0.028
116,135,R135,GLY,0.491
124,135,R135,MGLY,0.003
135,135,UALD,R135,-1
149,135,R135,XO2,0.1
150,135,R135,ACD,0.42
151,135,R135,HCHO,0.08
155,135,O3,R135,-1
156,135,R135,MO2,0.008
159,135,R135,HO,0.1
164,135,R135,HO2,0.072
166,135,R135,ACO3,0.002
6,136,R136,CO2,0.5
87,136,R136,CO,1.5
116,136,R136,GLY,0.05
124,136,R136,MGLY,0.08
136,136,R136,RCO3,0.6
141,136,R136,OP2,0.65
146,136,DCB1,R136,-1
149,136,R136,XO2,0.6
151,136,R136,HCHO,0.05
155,136,O3,R136,-1
159,136,R136,HO,0.05
164,136,R136,HO2,1
6,137,R137,CO2,0.5
87,137,R137,CO,1.5
116,137,R137,GLY,0.05
124,137,R137,MGLY,0.08
136,137,R137,RCO3,0.6
140,137,DCB2,R137,-1
141,137,R137,OP2,0.65
146,137,R137,DCB1,0.7
149,137,R137,XO2,0.6
151,137,R137,HCHO,0.05
155,137,O3,R137,-1
159,137,R137,HO,0.05
164,137,R137,HO2,1
6,138,R138,CO2,0.5
68,138,R138,ORA1,0.25
70,138,R138,PAA,0.11
87,138,R138,CO,1.5
116,138,R138,GLY,0.48
125,138,DCB3,R138,-1
146,138,R138,DCB1,0.7
155,138,O3,R138,-1
159,138,R138,HO,0.05
160,138,R138,ORA2,0.25
164,138,R138,HO2,1
6,139,R139,CO2,0.5
87,139,R139,CO,1.5
88,139,EPX,R139,-1
106,139,R139,BALD,0.85
116,139,R139,GLY,1
155,139,O3,R139,-1
159,139,R139,HO,0.05
164,139,R139,HO2,1.5
76,140,MCTO,R140,-1
115,140,R140,MCTP,1
155,140,O3,R140,-1
90,141,ETE,R141,-1
131,141,R141,OLNN,0.8
145,141,R141,OLND,0.2
163,141,NO3,R141,-1
94,142,OLT,R142,-1
131,142,R142,OLNN,0.43
145,142,R142,OLND,0.57
163,142,NO3,R142,-1
131,143,R143,OLNN,0.11
143,143,OLI,R143,-1
145,143,R143,OLND,0.89
163,143,NO3,R143,-1
89,144,DIEN,R144,-1
126,144,R144,MACR,0.9
131,144,R144,OLNN,0.9
145,144,R144,OLND,0.1
163,144,NO3,R144,-1
67,145,R145,ISON,1
86,145,ISO,R145,-1
163,145,NO3,R145,-1
74,146,API,R146,-1
131,146,R146,OLNN,0.1
145,146,R146,OLND,0.9
163,146,NO3,R146,-1
83,147,LIM,R147,-1
131,147,R147,OLNN,0.71
145,147,R147,OLND,0.29
163,147,NO3,R147,-1
87,148,R148,CO,1
97,148,R148,HNO3,1
151,148,HCHO,R148,-1
163,148,NO3,R148,-1
164,148,R148,HO2,1
97,149,R149,HNO3,1
150,149,ACD,R149,-1
163,149,NO3,R149,-1
166,149,R149,ACO3,1
97,150,R150,HNO3,1
136,150,R150,RCO3,1
158,150,ALD,R150,-1
163,150,NO3,R150,-1
97,151,R151,HNO3,0.32
124,151,R151,MGLY,0.68
126,151,MACR,R151,-1
128,151,R151,MACP,0.32
149,151,R151,XO2,0.68
151,151,R151,HCHO,0.68
162,151,R151,NO2,0.68
163,151,NO3,R151,-1
87,152,R152,CO,0.668
133,152,R152,ONIT,1
135,152,UALD,R152,-1
149,152,R152,XO2,1
151,152,R152,HCHO,0.332
158,152,R152,ALD,0.332
163,152,NO3,R152,-1
164,152,R152,HO2,1
87,153,R153,CO,2
97,153,R153,HNO3,1
116,153,GLY,R153,-1
163,153,NO3,R153,-1
164,153,R153,HO2,1
87,154,R154,CO,1
97,154,R154,HNO3,1
124,154,MGLY,R154,-1
163,154,NO3,R154,-1
166,154,R154,ACO3,1
65,155,PHEN,R155,-1
69,155,R155,CHO,0.4
97,155,R155,HNO3,0.5
105,155,R155,ADCN,0.5
114,155,R155,ADDC,0.1
163,155,NO3,R155,-1
69,156,R156,CHO,0.4
97,156,R156,HNO3,0.5
105,156,R156,ADCN,0.5
114,156,R156,ADDC,0.1
120,156,CSL,R156,-1
163,156,NO3,R156,-1
6,157,R157,CO2,0.5
87,157,R157,CO,1.5
88,157,EPX,R157,-1
97,157,R157,HNO3,0.5
116,157,R157,GLY,1
159,157,R157,HO,0.5
162,157,R157,NO2,0.5
163,157,NO3,R157,-1
164,157,R157,HO2,1.5
54,158,MCT,R158,-1
76,158,R158,MCTO,1
97,158,R158,HNO3,1
163,158,NO3,R158,-1
58,159,MPAN,R159,-1
128,159,R159,MACP,1
162,159,R159,NO2,1
163,159,NO3,R159,-1
49,160,TR2,R160,-1
88,160,R160,EPX,0.28
112,160,R160,TOLP,0.28
113,160,R160,PER1,0.15
120,160,R160,CSL,0.01
140,160,R160,DCB2,0.28
159,160,R160,HO,0.28
164,160,R160,HO2,0.29
112,161,TOLP,R161,-1
113,161,R161,PER1,0.5
120,161,R161,CSL,0.01
140,161,R161,DCB2,0.49
159,161,R161,HO,0.49
164,161,R161,HO2,0.01
55,162,XY2,R162,-1
88,162,R162,EPX,0.84
110,162,R162,PER2,0.15
119,162,R162,XYLP,0.308
120,162,R162,CSL,0.01
136,162,R162,RCO3,0.25
140,162,R162,DCB2,0.224
159,162,R162,HO,0.158
164,162,R162,HO2,0.308
110,163,R163,PER2,0.5
119,163,XYLP,R163,-1
120,163,R163,CSL,0.01
140,163,R163,DCB2,0.49
159,163,R163,HO,0.39
164,163,R163,HO2,0.01
56,164,XYO2,R164,-1
88,164,R164,EPX,0.84
110,164,R164,PER2,0.15
119,164,R164,XYLP,0.308
120,164,R164,CSL,0.01
136,164,R164,RCO3,0.25
140,164,R164,DCB2,0.224
159,164,R164,HO,0.158
164,164,R164,HO2,0.308
104,165,XYOP,R165,-1
110,165,R165,PER2,0.5
120,165,R165,CSL,0.01
140,165,R165,DCB2,0.49
159,165,R165,HO,0.39
164,165,R165,HO2,0.01
75,166,R166,PAN,1
162,166,NO2,R166,-1
166,166,ACO3,R166,-1
1,167,R167,DUMMY,1
75,167,PAN,R167,-1
162,167,R167,NO2,1
166,167,R167,ACO3,1
57,168,R168,PPN,1
136,168,RCO3,R168,-1
162,168,NO2,R168,-1
57,169,PPN,R169,-1
136,169,R169,RCO3,1
162,169,R169,NO2,1
58,170,R170,MPAN,1
128,170,MACP,R170,-1
162,170,NO2,R170,-1
58,171,MPAN,R171,-1
128,171,R171,MACP,1
162,171,R171,NO2,1
151,172,R172,HCHO,1
154,172,NO,R172,-1
156,172,MO2,R172,-1
162,172,R172,NO2,1
164,172,R172,HO2,1
150,173,R173,ACD,1
154,173,NO,R173,-1
161,173,ETHP,R173,-1
162,173,R173,NO2,1
164,173,R173,HO2,1
95,174,R174,MEK,0.042
96,174,R174,ACT,0.165
133,174,R174,ONIT,0.065
149,174,R174,XO2,0.089
150,174,R174,ACD,0.504
154,174,NO,R174,-1
156,174,R174,MO2,0.131
158,174,R174,ALD,0.132
161,174,R174,ETHP,0.048
162,174,R174,NO2,0.935
164,174,R174,HO2,0.66
165,174,HC3P,R174,-1
95,175,R175,MEK,0.033
96,175,R175,ACT,0.217
98,175,R175,HKET,0.272
103,175,R175,KET,0.039
133,175,R175,ONIT,0.136
142,175,HC5P,R175,-1
149,175,R175,XO2,0.235
150,175,R175,ACD,0.045
151,175,R175,HCHO,0.018
154,175,NO,R175,-1
156,175,R175,MO2,0.051
158,175,R175,ALD,0.203
161,175,R175,ETHP,0.231
162,175,R175,NO2,0.864
164,175,R175,HO2,0.2
103,176,R176,KET,0.642
117,176,HC8P,R176,-1
133,176,R176,ONIT,0.261
149,176,R176,XO2,0.416
