! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_SpeciesCompositionMatrix.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,S,Cl,Br
130,IPBENZOLOH,0,14,9,0,5,0,0,0
131,OETLBPR2OH,0,14,9,0,4,0,0,0
132,OETLQO,0,11,9,0,4,0,0,0
133,OETOLOH,0,14,9,0,5,0,0,0
134,METLBPR2OH,0,14,9,0,4,0,0,0
135,METLQO,0,11,9,0,4,0,0,0
136,METLQOH,0,12,9,0,4,0,0,0
137,METOLOH,0,14,9,0,5,0,0,0
138,PETLBPR2OH,0,14,9,0,4,0,0,0
139,PETLQO,0,11,9,0,4,0,0,0
140,PETLQOH,0,12,9,0,4,0,0,0
141,PETOLOH,0,14,9,0,5,0,0,0
142,DMEBPR2OH,0,16,10,0,4,0,0,0
143,MEBFUOH,0,12,7,0,4,0,0,0
144,DMEPHOLOH,0,16,10,0,5,0,0,0
145,DETLBPR2OH,0,18,11,0,4,0,0,0
146,DEMPHOLOH,0,18,11,0,5,0,0,0
147,C914O,0,11,9,0,4,0,0,0
148,C88O,0,11,8,0,3,0,0,0
149,C619O,0,7,6,0,3,0,0,0
150,NOPINCOH,0,14,9,0,2,0,0,0
151,C917OH,0,14,9,0,3,0,0,0
152,BPINCOH,0,18,10,0,2,0,0,0
153,C8BC,0,14,8,0,0,0,0,0
154,NOPINDO,0,13,9,0,2,0,0,0
155,C812OH,0,14,8,0,4,0,0,0
156,C721O,0,11,7,0,3,0,0,0
157,N2O5,0,0,0,2,5,0,0,0
158,DICLETOH,0,4,2,0,1,0,2,0
159,DIBRETOH,0,4,2,0,1,0,0,2
160,CHCL3OH,0,3,2,0,1,0,3,0
161,CH2CL3OH,0,3,2,0,1,0,3,0
162,CH3CCL2OH,0,4,2,0,1,0,2,0
163,CHCL2CL2OH,0,2,2,0,1,0,4,0
164,CL12PROP,0,6,3,0,0,0,2,0
165,CL12PRBOH,0,6,3,0,1,0,2,0
166,CLCO2H,0,1,1,0,2,0,1,0
167,IEB1CHO,0,8,5,0,3,0,0,0
168,IEB4CHO,0,8,5,0,3,0,0,0
169,INANCOCHO,0,6,5,2,8,0,0,0
170,C511CHO,0,8,6,0,3,0,0,0
171,LIMALOOA,0,14,9,0,4,0,0,0
172,C628OOA,0,10,6,0,4,0,0,0
173,C629OOA,0,10,6,0,4,0,0,0
174,C520OOA,0,8,5,0,4,0,0,0
175,C735OOA,0,10,7,0,4,0,0,0
176,C142OH,0,24,14,0,3,0,0,0
177,C927OH,0,16,9,0,3,0,0,0
178,C145OH,0,24,14,0,6,0,0,0
179,C827OH,0,14,8,0,3,0,0,0
180,C132OH,0,22,13,0,4,0,0,0
181,C127OH,0,20,12,0,3,0,0,0
182,C139OH,0,22,13,0,4,0,0,0
183,C1313OH,0,22,13,0,4,0,0,0
184,C117OH,0,18,11,0,4,0,0,0
185,C1212OH,0,20,12,0,5,0,0,0
186,C1214O,0,19,12,0,4,0,0,0
187,PGAOOB,0,4,2,0,4,0,0,0
188,PPACLOOA,0,4,3,0,5,0,0,0
189,PACLOOA,0,6,3,0,4,0,0,0
190,PPGAOOB,0,2,2,0,5,0,0,0
191,CO2C3CO2H,0,6,4,0,3,0,0,0
192,MAE,0,6,4,0,3,0,0,0
193,HEXAO,0,13,6,0,1,0,0,0
194,HO3C5O,0,11,5,0,2,0,0,0
195,HEXBO,0,13,6,0,1,0,0,0
196,M2PEAO,0,13,6,0,1,0,0,0
197,EIPKBO,0,11,6,0,2,0,0,0
198,M3PEAO,0,13,6,0,1,0,0,0
199,M22C4O,0,13,6,0,1,0,0,0
200,HEPTO,0,15,7,0,1,0,0,0
201,M2HEXAO,0,15,7,0,1,0,0,0
202,M3HEXAO,0,15,7,0,1,0,0,0
203,H3M3C5O,0,13,6,0,2,0,0,0
204,OCTO,0,17,8,0,1,0,0,0
205,NONO,0,19,9,0,1,0,0,0
206,DECO,0,21,10,0,1,0,0,0
207,UDECO,0,23,11,0,1,0,0,0
208,DDECO,0,25,12,0,1,0,0,0
209,ISOPAO,0,9,5,0,2,0,0,0
210,CO1C6O,0,11,6,0,2,0,0,0
211,C2H2,0,2,2,0,0,0,0,0
212,CO2C54O,0,9,5,0,2,0,0,0
213,DIEKBO,0,9,5,0,2,0,0,0
214,HEX2ONAO,0,11,6,0,2,0,0,0
215,HEX3ONAO,0,11,6,0,2,0,0,0
216,HEX3ONDO,0,11,6,0,2,0,0,0
217,ME3BUOL,0,12,5,0,1,0,0,0
218,MMALANHYO,0,5,5,0,5,0,0,0
219,PEAO,0,11,5,0,1,0,0,0
220,DMMALYO,0,7,6,0,5,0,0,0
221,EMALANHYO,0,7,6,0,5,0,0,0
222,PMALANHYO,0,9,7,0,5,0,0,0
223,IPMALANHYO,0,9,7,0,5,0,0,0
224,C9DCO,0,11,9,0,3,0,0,0
225,NOPINBO,0,13,9,0,2,0,0,0
226,C8BCO,0,13,8,0,1,0,0,0
227,C811O,0,13,8,0,3,0,0,0
228,C812O,0,13,8,0,4,0,0,0
229,DIBRETO,0,3,2,0,1,0,0,2
230,C923O,0,15,9,0,2,0,0,0
231,C817O,0,13,8,0,3,0,0,0
232,C823O,0,13,8,0,3,0,0,0
233,C822O,0,13,8,0,2,0,0,0
234,C729O,0,11,7,0,2,0,0,0
235,C626O,0,9,6,0,3,0,0,0
236,C732O,0,11,7,0,4,0,0,0
237,C731O,0,11,7,0,3,0,0,0
238,C141O,0,23,14,0,2,0,0,0
239,C928O,0,15,9,0,3,0,0,0
240,C131O,0,21,13,0,3,0,0,0
241,C132O,0,21,13,0,4,0,0,0
242,C126O,0,19,12,0,2,0,0,0
243,C137O,0,21,13,0,3,0,0,0
244,C136O,0,21,13,0,2,0,0,0
245,C1311O,0,21,13,0,3,0,0,0
246,C1011O,0,17,10,0,2,0,0,0
247,C830O,0,13,8,0,2,0,0,0
248,C1013O,0,17,10,0,3,0,0,0
249,C116O,0,17,11,0,3,0,0,0
250,C1211O,0,19,12,0,4,0,0,0
251,C1210O,0,19,12,0,3,0,0,0
252,HO134C5,0,12,5,0,3,0,0,0
253,HEXBOH,0,14,6,0,1,0,0,0
254,HO25C6,0,14,6,0,2,0,0,0
255,HEXCOH,0,14,6,0,1,0,0,0
256,M2PEAOH,0,14,6,0,1,0,0,0
257,HO14MC5,0,14,6,0,2,0,0,0
258,HO2C54CO2H,0,12,6,0,3,0,0,0
259,HO24C5,0,12,5,0,2,0,0,0
260,HO124C5,0,12,5,0,3,0,0,0
261,M2PEBOH,0,14,6,0,1,0,0,0
262,CO2C54CO2H,0,10,6,0,3,0,0,0
263,M2PECOH,0,14,6,0,1,0,0,0
