! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : CBMZ_BiadjacencyMatrix.csv
! Equation file        : CBMZ.kpp
! Output root filename : CBMZ
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
NO3,60,73,-1
ARO1,6,74,0.039
ARO2,7,74,0.108
TOL,20,74,-1
TO2,29,74,0.8
CRES,36,74,0.12
XO2,48,74,0.08
HO2,65,74,0.2
OH,67,74,-1
ARO1,6,75,0.039
ARO2,7,75,0.108
XYL,22,75,-1
TO2,29,75,0.45
CRES,36,75,0.05
PAR,41,75,1.1
XO2,48,75,0.5
MGLY,53,75,0.8
HO2,65,75,0.55
OH,67,75,-1
TO2,29,76,-1
OPEN,42,76,0.95
ONIT,57,76,0.05
NO2,59,76,0.95
NO,63,76,-1
HO2,65,76,0.95
ARO1,6,77,0.039
ARO2,7,77,0.108
CRO,24,77,0.4
CRES,36,77,-1
OPEN,42,77,0.3
XO2,48,77,0.6
HO2,65,77,0.6
OH,67,77,-1
ARO1,6,78,0.039
ARO2,7,78,0.108
CRO,24,78,1
CRES,36,78,-1
HNO3,38,78,1
NO3,60,78,-1
CRO,24,79,-1
ONIT,57,79,1
NO2,59,79,-1
CO,39,80,2
OPEN,42,80,-1
HCHO,47,80,1
XO2,48,80,1
C2O3,58,80,1
HO2,65,80,2
OH,67,80,-1
CO,39,81,0.69
OPEN,42,81,-1
HCHO,47,81,0.7
XO2,48,81,0.03
MGLY,53,81,0.2
ALD2,54,81,0.03
C2O3,58,81,0.62
O3,64,81,-1
HO2,65,81,0.76
OH,67,81,0.08
ISOPP,43,82,1
ISOP,46,82,-1
XO2,48,82,0.08
OH,67,82,-1
RCOOH,5,83,0.39
CO,39,83,0.07
ISOP,46,83,-1
HCHO,47,83,0.6
XO2,48,83,0.2
ALD2,54,83,0.15
ISOPRD,56,83,0.65
C2O3,58,83,0.2
O3,64,83,-1
HO2,65,83,0.07
OH,67,83,0.27
ISOPN,40,84,1
ISOP,46,84,-1
NO3,60,84,-1
ISOPO2,44,85,0.5
XO2,48,85,0.2
ISOPRD,56,85,-1
C2O3,58,85,0.5
OH,67,85,-1
RCOOH,5,86,0.46
CO,39,86,0.16
HCHO,47,86,0.15
XO2,48,86,0.07
AONE,49,86,0.09
MGLY,53,86,0.85
ALD2,54,86,0.02
CH3O2,55,86,0.05
ISOPRD,56,86,-1
C2O3,58,86,0.11
O3,64,86,-1
HO2,65,86,0.1
OH,67,86,0.27
HNO3,38,87,0.07
CO,39,87,0.64
PAR,41,87,1.86
HCHO,47,87,0.28
XO2,48,87,0.93
ALD2,54,87,0.28
ISOPRD,56,87,-1
ONIT,57,87,0.93
C2O3,58,87,0.07
NO3,60,87,-1
HO2,65,87,0.93
PAR,41,88,0.18
ISOPP,43,88,-1
HCHO,47,88,0.63
ISOPRD,56,88,0.91
ONIT,57,88,0.09
NO2,59,88,0.91
NO,63,88,-1
HO2,65,88,0.91
ISOPN,40,89,-1
PAR,41,89,1.6
ALD2,54,89,0.8
ISOPRD,56,89,0.2
ONIT,57,89,0.8
NO2,59,89,1.2
NO,63,89,-1
HO2,65,89,0.8
CO,39,90,0.59
ISOPO2,44,90,-1
HCHO,47,90,0.25
AONE,49,90,0.63
MGLY,53,90,0.34
ALD2,54,90,0.55
NO2,59,90,1
NO,63,90,-1
HO2,65,90,1
ISOPP,43,91,-1
HO2,65,91,-1
ROOH,66,91,1
ISOPN,40,92,-1
PAR,41,92,2
ONIT,57,92,1
HO2,65,92,-1
ISOPO2,44,93,-1
HO2,65,93,-1
ROOH,66,93,1
CH3OOH,31,94,-1
HCHO,47,94,0.3
