! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : saprc99_BiadjacencyMatrix.csv
! Equation file        : saprc99.kpp
! Output root filename : saprc99
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
ACET,42,176,0.006
R2O2,48,176,0.596
CCHO,55,176,0.439
HCHO,56,176,0.01
RNO3,57,176,-0.69
RCHO,59,176,0.213
MEK,60,176,0.177
PROD2,61,176,0.048
HO2,63,176,0.113
RO2_N,64,176,0.173
RO2_R,68,176,0.376
NO2,70,176,0.338
OH,74,176,-1
ACET,42,177,0.02
R2O2,48,177,0.152
CCHO,55,177,0.431
HCHO,56,177,0.134
RNO3,57,177,-1
RCHO,59,177,0.147
MEK,60,177,0.243
PROD2,61,177,0.435
HO2,63,177,0.341
RO2_N,64,177,0.095
RO2_R,68,177,0.564
NO2,70,177,1
DCB1,35,178,-1
CO,40,178,1
RCHO,59,178,1
RO2_R,68,178,1
OH,74,178,-1
DCB1,35,179,-1
CO,40,179,1.5
GLY,45,179,1
O3,62,179,-1
HO2,63,179,1.5
OH,74,179,0.5
DCB2,32,180,-1
R2O2,48,180,1
RCHO,59,180,1
CCO_O2,72,180,1
OH,74,180,-1
DCB2,32,181,-1
CO,40,181,1
MGLY,41,181,0.5
GLY,45,181,0.5
R2O2,48,181,1
HO2,63,181,0.5
RO2_R,68,181,1
CCO_O2,72,181,0.5
DCB3,33,182,-1
R2O2,48,182,1
RCHO,59,182,1
CCO_O2,72,182,1
OH,74,182,-1
DCB3,33,183,-1
CO,40,183,1
MGLY,41,183,0.5
GLY,45,183,0.5
R2O2,48,183,1
HO2,63,183,0.5
RO2_R,68,183,1
CCO_O2,72,183,0.5
C_O2,66,184,1
OH,74,184,-1
ETHENE,44,185,-1
CCHO,55,185,0.195
HCHO,56,185,1.61
RO2_R,68,185,1
OH,74,185,-1
HCOOH,2,186,0.37
CO,40,186,0.5
ETHENE,44,186,-1
HCHO,56,186,1
O3,62,186,-1
HO2,63,186,0.12
OH,74,186,0.12
ETHENE,44,187,-1
RCHO,59,187,1
RO2_R,68,187,1
NO3,71,187,-1
CO,40,188,0.491
ETHENE,44,188,-1
GLY,45,188,0.009
CCHO,55,188,0.25
HCHO,56,188,0.191
O3P,58,188,-1
HO2,63,188,0.5
C_O2,66,188,0.3
RO2_R,68,188,0.2
ISOPRENE,47,189,-1
R2O2,48,189,0.079
METHACRO,50,189,0.23
ISOPROD,52,189,0.357
MVK,54,189,0.32
HCHO,56,189,0.624
RO2_N,64,189,0.093
RO2_R,68,189,0.907
OH,74,189,-1
HCOOH,2,190,0.204
RCO_OH,4,190,0.15
CO,40,190,0.275
ISOPRENE,47,190,-1
R2O2,48,190,0.126
METHACRO,50,190,0.39
MVK,54,190,0.16
HCHO,56,190,0.592
PROD2,61,190,0.1
O3,62,190,-1
RO2_N,64,190,0.008
MA_RCO3,65,190,0.192
RO2_R,68,190,0.066
OH,74,190,0.266
ISOPRENE,47,191,-1
R2O2,48,191,0.187
ISOPROD,52,191,0.936
RO2_N,64,191,0.064
RO2_R,68,191,0.749
NO2,70,191,0.187
NO3,71,191,-1
ISOPRENE,47,192,-1
R2O2,48,192,0.24
HCHO,56,192,0.24
O3P,58,192,-1
PROD2,61,192,0.75
RO2_N,64,192,0.01
MA_RCO3,65,192,0.24
C_O2,66,192,0.25
R2O2,48,193,0.5
TERP,49,193,-1
HCHO,56,193,0.276
RCHO,59,193,0.474
PROD2,61,193,0.276
RO2_N,64,193,0.25
RO2_R,68,193,0.75
OH,74,193,-1
HCOOH,2,194,0.103
RCO_OH,4,194,0.189
BACL,12,194,0.031
CO,40,194,0.157
ACET,42,194,0.13
GLY,45,194,0.001
R2O2,48,194,0.729
TERP,49,194,-1
HCHO,56,194,0.235
RCHO,59,194,0.205
PROD2,61,194,0.276
O3,62,194,-1
HO2,63,194,0.033
RO2_N,64,194,0.18
RO2_R,68,194,0.031
CCO_O2,72,194,0.123
RCO_O2,73,194,0.201
OH,74,194,0.567
R2O2,48,195,0.75
TERP,49,195,-1
RNO3,57,195,0.276
RCHO,59,195,0.474
RO2_N,64,195,0.25
RO2_R,68,195,0.276
NO2,70,195,0.474
NO3,71,195,-1
TERP,49,196,-1
O3P,58,196,-1
RCHO,59,196,0.147
PROD2,61,196,0.853
ALK1,11,197,-1
CCHO,55,197,1
RO2_R,68,197,1
OH,74,197,-1
HCOOH,2,198,0.121
ALK2,20,198,-1
CO,40,198,0.16
ACET,42,198,0.417
GLY,45,198,0.248
HCHO,56,198,0.039
RCHO,59,198,0.155
HO2,63,198,0.121
RO2_N,64,198,0.021
RO2_R,68,198,0.612
OH,74,198,-0.754
ALK3,21,199,-1
TBU_O,22,199,0.236
ACET,42,199,0.024
R2O2,48,199,0.559
CCHO,55,199,0.445
HCHO,56,199,0.026
RCHO,59,199,0.122
MEK,60,199,0.332
RO2_N,64,199,0.07
RO2_R,68,199,0.695
OH,74,199,-1
ALK4,30,200,-1
CO,40,200,0.002
ACET,42,200,0.452
R2O2,48,200,0.936
CCHO,55,200,0.455
HCHO,56,200,0.024
RCHO,59,200,0.244
MEK,60,200,0.11
PROD2,61,200,0.125
RO2_N,64,200,0.143
C_O2,66,200,0.011
RO2_R,68,200,0.835
CCO_O2,72,200,0.011
OH,74,200,-1
ALK5,23,201,-1
ACET,42,201,0.072
R2O2,48,201,0.948
CCHO,55,201,0.099
HCHO,56,201,0.026
RCHO,59,201,0.204
MEK,60,201,0.089
PROD2,61,201,0.417
RO2_N,64,201,0.347
RO2_R,68,201,0.653
OH,74,201,-1
ARO1,31,202,-1
DCB2,32,202,0.108
DCB3,33,202,0.051
CRES,34,202,0.207
DCB1,35,202,0.491
BALD,38,202,0.059
PHEN,39,202,0.017
MGLY,41,202,0.119
GLY,45,202,0.118
PROD2,61,202,0.055
HO2,63,202,0.224
RO2_N,64,202,0.011
RO2_R,68,202,0.765
OH,74,202,-1
BACL,12,203,0.087
ARO2,24,203,-1
DCB2,32,203,0.099
DCB3,33,203,0.093
CRES,34,203,0.187
DCB1,35,203,0.561
BALD,38,203,0.05
MGLY,41,203,0.287
GLY,45,203,0.097
HO2,63,203,0.187
RO2_N,64,203,0.009
RO2_R,68,203,0.804
OH,74,203,-1
ACET,42,204,0.005
R2O2,48,204,0.205
OLE1,51,204,-1
CCHO,55,204,0.294
HCHO,56,204,0.732
RCHO,59,204,0.497
PROD2,61,204,0.119
RO2_N,64,204,0.09
RO2_R,68,204,0.91
OH,74,204,-1
HCOOH,2,205,0.185
CCO_OH,3,205,0.05
RCO_OH,4,205,0.119
CO,40,205,0.345
ACET,42,205,0.001
OLE1,51,205,-1
CCHO,55,205,0.154
HCHO,56,205,0.5
RCHO,59,205,0.363
PROD2,61,205,0.215
O3,62,205,-1
HO2,63,205,0.056
RO2_N,64,205,0.001
C_O2,66,205,0.076
RO2_R,68,205,0.022
OH,74,205,0.155
ACET,42,206,0.024
R2O2,48,206,0.488
OLE1,51,206,-1
CCHO,55,206,0.009
RNO3,57,206,0.511
RCHO,59,206,0.037
RO2_N,64,206,0.176
RO2_R,68,206,0.824
NO3,71,206,-1
OLE1,51,207,-1
O3P,58,207,-1
RCHO,59,207,0.45
MEK,60,207,0.437
PROD2,61,207,0.113
BALD,38,208,0.061
ACET,42,208,0.127
R2O2,48,208,0.001
METHACRO,50,208,0.025
ISOPROD,52,208,0.025
OLE2,53,208,-1
CCHO,55,208,0.732
HCHO,56,208,0.244
RCHO,59,208,0.511
MEK,60,208,0.072
RO2_N,64,208,0.082
RO2_R,68,208,0.918
OH,74,208,-1
HCOOH,2,209,0.073
CCO_OH,3,209,0.129
RCO_OH,4,209,0.247
BALD,38,209,0.042
CO,40,209,0.265
ACET,42,209,0.045
R2O2,48,209,0.137
METHACRO,50,209,0.026
OLE2,53,209,-1
MVK,54,209,0.019
CCHO,55,209,0.456
HCHO,56,209,0.269
RCHO,59,209,0.305
MEK,60,209,0.026
PROD2,61,209,0.043
O3,62,209,-1
HO2,63,209,0.003
RO2_N,64,209,0.002
C_O2,66,209,0.197
RO2_R,68,209,0.033
CCO_O2,72,209,0.137
RCO_O2,73,209,0.006
OH,74,209,0.378
BALD,38,210,0.015
ACET,42,210,0.102
R2O2,48,210,0.711
OLE2,53,210,-1
MVK,54,210,0.048
CCHO,55,210,0.507
HCHO,56,210,0.079
RNO3,57,210,0.321
RCHO,59,210,0.151
