! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_EdgeList.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
6023,110,NO,R110,-1
2954,111,R111,HO1C4NO3,1
4429,111,HO1C4O2,R111,-1
6023,111,NO,R111,-1
2166,112,HO1C4O,R112,-1
5235,112,R112,HOC3H6CHO,1
6030,112,R112,HO2,1
3604,113,R113,NC4H9O,1
5869,113,NC4H9O2,R113,-1
6017,113,R113,NO2,1
6024,113,NO3,R113,-1
2955,114,R114,NC4H9OOH,1
5869,114,NC4H9O2,R114,-1
6030,114,HO2,R114,-1
3604,115,R115,NC4H9O,1
5869,115,NC4H9O2,R115,-1
5869,116,NC4H9O2,R116,-1
5889,116,R116,C3H7CHO,1
2167,117,R117,NBUTOL,1
5869,117,NC4H9O2,R117,-1
2166,118,R118,HO1C4O,1
4429,118,HO1C4O2,R118,-1
6017,118,R118,NO2,1
6024,118,NO3,R118,-1
2957,119,R119,HO1C4OOH,1
4429,119,HO1C4O2,R119,-1
6030,119,HO2,R119,-1
2166,120,R120,HO1C4O,1
4429,120,HO1C4O2,R120,-1
4429,121,HO1C4O2,R121,-1
5235,121,R121,HOC3H6CHO,1
807,122,R122,HOC4H8OH,1
4429,122,HO1C4O2,R122,-1
2952,123,NC4H9NO3,R123,-1
5889,123,R123,C3H7CHO,1
6017,123,R123,NO2,1
6029,123,OH,R123,-1
2952,124,NC4H9NO3,R124,-1
3604,124,R124,NC4H9O,1
6017,124,R124,NO2,1
2954,125,HO1C4NO3,R125,-1
5235,125,R125,HOC3H6CHO,1
6017,125,R125,NO2,1
6029,125,OH,R125,-1
2166,126,R126,HO1C4O,1
2954,126,HO1C4NO3,R126,-1
6017,126,R126,NO2,1
2955,127,NC4H9OOH,R127,-1
5869,127,R127,NC4H9O2,1
6029,127,OH,R127,-1
2955,128,NC4H9OOH,R128,-1
5889,128,R128,C3H7CHO,1
6029,128,OH,R128,-1
6029,128,R128,OH,1
2955,129,NC4H9OOH,R129,-1
3604,129,R129,NC4H9O,1
6029,129,R129,OH,1
2957,130,HO1C4OOH,R130,-1
4429,130,R130,HO1C4O2,1
6029,130,OH,R130,-1
2957,131,HO1C4OOH,R131,-1
5235,131,R131,HOC3H6CHO,1
6029,131,OH,R131,-1
6029,131,R131,OH,1
2166,132,R132,HO1C4O,1
2957,132,HO1C4OOH,R132,-1
6029,132,R132,OH,1
807,133,HOC4H8OH,R133,-1
5235,133,R133,HOC3H6CHO,1
6029,133,OH,R133,-1
6030,133,R133,HO2,1
5235,134,HOC3H6CHO,R134,-1
5681,134,R134,HO1C3O2,1
6030,134,R134,HO2,1
6034,134,R134,CO,1
5235,135,HOC3H6CHO,R135,-1
5647,135,R135,HOC3H6CO3,1
6029,135,OH,R135,-1
5235,136,HOC3H6CHO,R136,-1
5647,136,R136,HOC3H6CO3,1
5909,136,R136,HNO3,1
6024,136,NO3,R136,-1
5647,137,HOC3H6CO3,R137,-1
5681,137,R137,HO1C3O2,1
6017,137,R137,NO2,1
6023,137,NO,R137,-1
2168,138,R138,HO1C3O,1
5681,138,HO1C3O2,R138,-1
6017,138,R138,NO2,1
6023,138,NO,R138,-1
2960,139,R139,HO1C3NO3,1
5681,139,HO1C3O2,R139,-1
6023,139,NO,R139,-1
2168,140,HO1C3O,R140,-1
5852,140,R140,HOC2H4CHO,1
6030,140,R140,HO2,1
3608,141,R141,C4PAN1,1
5647,141,HOC3H6CO3,R141,-1
6017,141,NO2,R141,-1
3608,142,C4PAN1,R142,-1
5647,142,R142,HOC3H6CO3,1
6017,142,R142,NO2,1
5647,143,HOC3H6CO3,R143,-1
5681,143,R143,HO1C3O2,1
6017,143,R143,NO2,1
6024,143,NO3,R143,-1
1937,144,R144,HOC3H6CO3H,1
5647,144,HOC3H6CO3,R144,-1
6030,144,HO2,R144,-1
808,145,R145,HOC3H6CO2H,1
5647,145,HOC3H6CO3,R145,-1
6022,145,R145,O3,1
6030,145,HO2,R145,-1
5647,146,HOC3H6CO3,R146,-1
5681,146,R146,HO1C3O2,1
808,147,R147,HOC3H6CO2H,1
5647,147,HOC3H6CO3,R147,-1
2168,148,R148,HO1C3O,1
5681,148,HO1C3O2,R148,-1
6017,148,R148,NO2,1
6024,148,NO3,R148,-1
2961,149,R149,HO1C3OOH,1
5681,149,HO1C3O2,R149,-1
6030,149,HO2,R149,-1
2168,150,R150,HO1C3O,1
5681,150,HO1C3O2,R150,-1
5681,151,HO1C3O2,R151,-1
5852,151,R151,HOC2H4CHO,1
809,152,R152,HOC3H6OH,1
5681,152,HO1C3O2,R152,-1
3608,153,C4PAN1,R153,-1
5852,153,R153,HOC2H4CHO,1
6017,153,R153,NO2,1
6029,153,OH,R153,-1
6034,153,R153,CO,1
2960,154,HO1C3NO3,R154,-1
5852,154,R154,HOC2H4CHO,1
6017,154,R154,NO2,1
6029,154,OH,R154,-1
2168,155,R155,HO1C3O,1
2960,155,HO1C3NO3,R155,-1
6017,155,R155,NO2,1
1937,156,HOC3H6CO3H,R156,-1
5647,156,R156,HOC3H6CO3,1
6029,156,OH,R156,-1
1937,157,HOC3H6CO3H,R157,-1
5681,157,R157,HO1C3O2,1
6029,157,R157,OH,1
808,158,HOC3H6CO2H,R158,-1
5681,158,R158,HO1C3O2,1
6029,158,OH,R158,-1
2961,159,HO1C3OOH,R159,-1
5681,159,R159,HO1C3O2,1
6029,159,OH,R159,-1
2961,160,HO1C3OOH,R160,-1
5852,160,R160,HOC2H4CHO,1
6029,160,OH,R160,-1
6029,160,R160,OH,1
2168,161,R161,HO1C3O,1
2961,161,HO1C3OOH,R161,-1
6029,161,R161,OH,1
809,162,HOC3H6OH,R162,-1
5852,162,R162,HOC2H4CHO,1
6029,162,OH,R162,-1
6030,162,R162,HO2,1
5852,163,HOC2H4CHO,R163,-1
5865,163,R163,HOCH2CH2O2,1
6030,163,R163,HO2,1
6034,163,R163,CO,1
5852,164,HOC2H4CHO,R164,-1
5896,164,R164,HOC2H4CO3,1
6029,164,OH,R164,-1
5852,165,HOC2H4CHO,R165,-1
5896,165,R165,HOC2H4CO3,1
5909,165,R165,HNO3,1
6024,165,NO3,R165,-1
5865,166,R166,HOCH2CH2O2,1
5896,166,HOC2H4CO3,R166,-1
6017,166,R166,NO2,1
