! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_full_v5_SpeciesCompositionMatrix.csv
! Equation file        : isoprene_full_v5.def
! Output root filename : isoprene_full_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE
208,MACR2OH3OO,1
209,HMMLx,1
210,ISOP12O3OH3R4OH,1
211,ISOP12O3OH4OH,1
212,MACRENOL,1
213,C4HVP2,1
214,ISOP1CO2OH3OO4N,1
215,ISOP1CO2OH3R4N,1
216,ISOP1N2OH3OO4CO,1
217,ISOP1CO2OO3OH4N,1
218,ISOP1OH1R23O4N,1
219,ISOP1OH23O4N,1
220,ISOP1N2OH3CO4OO,1
221,ISOP1N2OH34O,1
222,MVK3OO4OH,1
223,MVK,1
224,C4HVP1,1
225,ISOP1CO2OO,1
226,ISOP1N2OO3OH4CO,1
227,ISOP1N2R3OH4CO,1
228,ISOP1N2R3OH4OH,1
229,MACR2OO3N,1
230,C4NVP2,1
231,CO2,1
232,ISOP1CO1OOH2OO,1
233,ISOP1CO1OOH,1
234,ISOP1CO1OOH4OO,1
235,ISOP1CO1OO4OOH,1
236,MPAN1OH2O,1
237,MPAN1OH2OO,1
238,MPAN1OH,1
239,MPAN1OHx,1
240,MVK3OH4CO,1
241,MVK3OH4OH,1
242,ISOP1CO2OO3OH4OH,1
243,ISOP1OH1R23O4OHc,1
244,ISOP1OH1R23O4OHt,1
245,MACR2OH3CO,1
246,MACR2OH3OH,1
247,ISOP1OH2OH3OO4CO,1
248,ISOP1OH23O4R4OHc,1
249,ISOP1OH23O4OHc,1
250,ISOP1OH23O4R4OHt,1
251,ISOP1OH23O4OHt,1
252,ISOP1OH2N3R4OH,1
253,ISOP1OH2R3N4OH,1
254,ISOP3N4OH,1
255,FAH,1
256,HPMF,1
257,ISOP1CO3R4OOH,1
258,ISOP1CO4OOc,1
259,ISOP1OH2N,1
260,ISOP4CO4OOH,1
261,ISOP1OOH4CO4OO,1
262,MPAN,1
263,MACR1OO,1
264,ISOP3CO4N,1
265,ISOP3OH3R4N,1
266,ISOP3OH4N,1
267,MACR,1
268,ISOP3OO4CO4OOH,1
269,ISOP1OO4CO4OOH,1
270,ISOP1OOH2R4CO,1
271,ISOP3OO4CO,1
272,ISOP1OO4COc,1
273,ISOP1OH2OOH3R4OH,1
274,ISOP1OH2R3OOH4OH,1
275,ISOP1CO1R4OH,1
276,ISOP1N2OO3OOH4CO,1
277,ISOP1N2OOH3OO4CO,1
278,ISOP1CO2OOH3OO4N,1
279,ISOP1CO2OO3OOH4N,1
280,ISOP1PAN4N,1
281,ISOP1CO1OO4N,1
282,ISOP1CO1R4N,1
283,ISOP1PAN4OH,1
284,ISOP1CO1OO4OH,1
285,ISOP1CO4OH,1
286,ISOP1OH2OO3OOH4CO,1
287,ISOP1OH2OOH3OO4CO,1
288,ISOP1OH4CO4R,1
289,MVK3OO4OH4OH,1
290,ISOP1CO2OH3OOH4OO,1
291,ISOP1CO2OH3OO4OOH,1
292,ISOP1CO2OH3R4OOH,1
293,ISOP1CO2OOH3OO4OH,1
294,ISOP1CO2OO3OOH4OH,1
295,ISOP1OOH2R3OH4CO,1
296,ISOP1OO2OOH3OH4CO,1
297,ISOP1OOH2OO3OH4CO,1
298,HMHP,1
299,ciCH2OO,1
300,HCOOH,1
301,MVKENOL,1
302,ISOP1N23O4OH4R,1
303,ISOP1N23O4OH,1
304,ISOP1N2OOH3R4OH,1
305,ISOP1N2OH3R4OOH,1
306,ISOP1N2R3OH4OOH,1
307,ISOP1OH2R3OOH4N,1
308,ISOP1OOH2R3OH4N,1
309,ISOP1N2OO3OOH4OH,1
310,ISOP1N2OOH3OO4OH,1
311,ISOP1N2OH3OOH4OO,1
312,ISOP1N2OH3OO4OOH,1
313,ISOP1OH2OOH3OO4N,1
314,ISOP1OH2OO3OOH4N,1
315,ISOP1OO2OOH3OH4N,1
316,ISOP1OOH2OO3OH4N,1
317,ISOP1OH4PAN,1
318,ISOP1OH4CO4OO,1
319,ISOP1OH4CO,1
320,ISOP1OOH2OH3R4N,1
321,ISOP1N4R4CO,1
322,ISOP1N4PAN,1
323,ISOP1N4CO4OO,1
324,ISOP1OO2OH3OOH4CO,1
325,ISOP1OOH2OH3OO4CO,1
326,ISOP3OOH4CO,1
327,ISOP1CO2OO3OH4OOH,1
328,ISOP1CO2OOH3OH4OO,1
329,ISOP1CO2OOH,1
330,ISOP1N2OOH,1
331,ISOP3OOH4N,1
332,ISOP1N2OOH3OH4OO,1
333,ISOP1N2OO3OH4OOH,1
334,ISOP1OH2OOH3OO4OH,1
335,ISOP1OH2OO3OOH4OH,1
336,ISOP3OOH4OH,1
337,ISOP1OH2OOH,1
338,ISOP1N4R4OH,1
339,ISOP1OO2OH3OOH4N,1
340,ISOP1OOH2OH3OO4N,1
341,ISOP1OOH4N,1
342,ISOP1OH2OOH3OH4OO,1
343,ISOP1OH2OO3OH4OOH,1
344,ISOP1OO2OH3OOH4OH,1
345,ISOP1OOH2OH3OO4OH,1
346,ISOP1N4OOH,1
347,ISOP1OH1R4N,1
348,ISOP1CO2OO3OOH4CO,1
349,ISOP1CO2OOH3OO4CO,1
350,ISOP1OOH4COc,1
351,ISOP1CO4N,1
352,ISOP1CO4OOHc,1
353,ISOP1N4CO,1
354,ISOP1N4OHc,1
355,ISOP1O4N,1
356,ISOP1OH4Nt,1
357,ISOP1N4OHt,1
358,ISOP1OH4Nc,1
359,ISOP1OOH4OHt,1
360,ISOP1OOH4OHc,1
361,ISOP1OOH2OOH3R4CO,1
362,ISOP1OH4OOHt,1
363,ISOP1OH4OOHc,1
364,ISOP1CO2R3OOH4OOH,1
365,ISOP4OHc,1
366,ISOP1OO2OOH3OOH4CO,1
367,ISOP1OOH2OO3OOH4CO,1
368,ISOP1OOH2OOH3OO4CO,1
369,ISOP1CO2OOH3OO4OOH,1
370,ISOP1CO2OOH3OOH4OO,1
371,ISOP1CO2OO3OOH4OOH,1
372,ISOP4OHt,1
373,ISOP1OO4OHt,1
374,ISOP1OO4OHc,1
375,ISOP1OHt,1
376,ISOP1OHc,1
377,ISOP1OH4OOc,1
378,ISOP3OO4OH,1
379,ISOP1OH2OO,1
380,ISOP1OH4OOt,1
381,ISOP1N4O,1
382,ISOP1OO4N,1
383,ISOP1N253OO4OH,1
384,ISOP1N2OO,1
385,ISOP1N4OO,1
386,ISOP3OO4N,1
