Experiment number,Temperature (K),Time (min),O3 [ppb],NO [ppb],NO2 [ppb],HCHO [ppb],HO2 [ppb],H2O2 [ppb],OH [ppb],HNO3 [ppb],CO [ppb],H2 [ppb],ALD2 [ppb],MGLY [ppb],MCO3 [ppb],PAN [ppb],H2O [ppb],O2 [ppb]
947.0,290.34811985987125,900.0,12.425306886660568,7.757272599190596,5.2539424587626415,22.535086465988325,0.010814328359582478,1.4640537470676256,0.002007713241108394,7.434589994557976,18.32921148575455,1.3185681577867145,0.7443643741817254,34.81505407836031,0.007438407659968569,16.532039968836337,10.554572704145539,2.099999690270177e8
947.0,290.34811985987125,1200.0,14.64041093850183,4.720318306572288,4.0940571968718515,19.115718963054224,0.01725061307049099,1.4181696724221242,0.0023787546494715085,9.581522670657671,23.659250865966325,1.64780262677911,0.5771332181944072,32.9217602832239,0.009367439303662883,18.581946847245742,13.657015848791076,2.0999995954427838e8
947.0,290.34811985987125,1500.0,17.259518741851807,2.1405658761355766,2.7781214758774446,15.661337281535314,0.03856321549369808,1.363520061387864,0.003156448979298137,11.54580499485647,28.928194149536722,1.9278482956720429,0.41972502081080115,31.131430213853143,0.013584112485331843,20.513352674478057,16.88485794486313,2.0999994982094607e8
947.0,290.34811985987125,1800.0,20.39527948992453,0.2264422954892997,1.3013861073796653,12.082064093409917,0.27504142164666606,1.2941345075621866,0.00357866780183148,13.129339790616562,34.236212541474984,2.158960381962017,0.27317597066569865,29.438462914533638,0.027887356319286943,22.32067682786203,20.338778593258745,2.0999993964363977e8
947.0,290.34811985987125,2100.0,21.700401092670695,0.0007884581616026123,0.03158435817222884,10.619641651623933,1.78798726815852,1.2630045424685434,0.00012870110278260044,13.400150173691925,37.31636445218483,2.33844318880394,0.22588714121897635,27.83756185560777,0.44301783623310304,23.545322031321806,21.59941131353717,2.0999993368333516e8
947.0,290.34811985987125,2400.0,21.73336131712838,7.585503109247908e-5,0.006184733899642898,10.314285214394722,3.5216952759936384,1.2592811392697503,3.135196019656518e-5,13.400320727896252,39.13614465590971,2.4998177961569477,0.22445556814892742,26.323719619482535,1.9320592070443998,23.57126370452058,21.63829899253921,2.0999993036894512e8
947.0,290.34811985987125,2700.0,21.745745183144198,2.9613240044320463e-5,0.0035409327022464573,10.035983318729134,5.168080940140044,1.256059527246105,2.1786837066654006e-5,13.400346129287113,40.84623939600721,2.656601233479889,0.22378282113768824,24.8922014594819,3.3614481302430548,23.57392834611815,21.656139779527834,2.0999992726613155e8
947.0,290.34811985987125,3000.0,21.753715022449292,1.6212182831856032e-5,0.0025224310859586745,9.768823356567509,6.731173029362557,1.2529460583758338,1.8230618459427744e-5,13.400358618187324,42.46728257685585,2.8091595684390422,0.22326490216059205,23.53853028705015,4.714511784750985,23.57494775989144,21.669557945044396,2.0999992433334184e8
947.0,290.34811985987125,3300.0,21.75967956750227,1.0452701491067428e-5,0.0019832889674816284,9.510307113135706,8.21529538108042,1.2498834456616013,1.644707163166455e-5,13.400366768245997,44.006041590756254,2.9576593269864238,0.22281420728205573,22.25847244649751,5.9943911036830375,23.5754845114326,21.680965648680743,2.099999215571631e8
947.0,290.34811985987125,3600.0,21.76449295826459,7.429509923815212e-6,0.001650111134488041,9.259432398323058,9.624580304980778,1.2468513895717737,1.542870845122411e-5,13.400372842310299,45.4675348645849,3.102231295780182,0.22239975487894803,21.048024279831466,7.204838399616968,23.575814638392842,21.691214564785753,2.0999991892774156e8
948.0,296.1165065946492,0.0,2.4696384245974197,18.261972238168664,13.583061506168772,22.620662155314132,0.009681297314623796,5.096150452219615,0.0006924239923918732,0.0,0.0,0.0,3.893187822014699,23.940741665450034,0.0008542933900591632,23.556866031911262,0.0,2.1000000000000003e8
948.0,296.1165065946492,300.0,7.679308184448776,20.607907976042057,8.167334789833058,21.012258062788902,0.0022341789466390504,5.032541275462246,0.0008199607644297186,1.4545839373915797,2.918749401451842,0.34026762981113157,3.5695200478900873,22.638811424429367,0.007037733511618564,25.172073072982002,1.4272237700757515,2.099999903650576e8
948.0,296.1165065946492,600.0,8.07868614997867,18.26324467049488,7.620132175461567,19.456621792327642,0.0023715377315407927,4.966312664106604,0.0008304680620827954,2.8050865442415946,5.715075041491543,0.6564537508013046,3.253944834423371,21.407668300252325,0.0076196353860288404,26.713436386050653,2.8380961473091237,2.0999998573472568e8
948.0,296.1165065946492,900.0,8.487417188994046,16.088736540255976,7.068833460440908,18.002879126480224,0.002536891175965155,4.900142288233969,0.0008450960928883442,4.08068092967599,8.343266298819621,0.9498405001826667,2.962134393092667,20.24346783950358,0.008294012274346178,28.16364884587582,4.162426805281662,2.099999813469614e8
948.0,296.1165065946492,1200.0,8.911401319279427,14.07646935804484,6.512180019666312,16.640659602674425,0.0027374302401652582,4.833743658441691,0.000864934736030513,5.28416960332135,10.817368784154715,1.2219339462737877,2.691301009456428,19.142579379195798,0.009086656267242811,29.52908079521619,5.411203785000413,2.0999997717593372e8
948.0,296.1165065946492,1500.0,9.352918799830395,12.215729263744617,5.952309513614527,15.360334600339035,0.0029845384647074437,4.766783240333555,0.0008910913106235528,6.418248031005151,13.150527260797665,1.4741040558219212,2.4389465037190643,18.10155402739424,0.01003027988496669,30.815612967884398,6.594689270303295,2.099999732007779e8
948.0,296.1165065946492,1800.0,9.814420225436926,10.496710925103255,5.391091688533219,14.152934091531028,0.0032943919540643998,4.698867241528169,0.000925107123956188,7.485458036379852,15.355057577262333,1.7075876993383885,2.2028353629487865,17.117141143927423,0.011169683679158732,32.02863912623236,7.722544902322455,2.0999996940172815e8
