! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : MOZART_4_EdgeList.csv
! Equation file        : MOZART_4.kpp
! Output root filename : MOZART_4
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
79,172,HO2,R172,-1
79,172,R172,HO2,0.794
58,173,R173,CO,1
67,173,CH3COCHO,R173,-1
75,173,OH,R173,-1
78,173,R173,CH3CO3,1
39,174,R174,HNO3,1
58,174,R174,CO,1
67,174,CH3COCHO,R174,-1
78,174,R174,CH3CO3,1
80,174,NO3,R174,-1
28,175,R175,HYDRALD,1
60,175,ONITR,R175,-1
73,175,R175,NO2,0.4
75,175,OH,R175,-1
79,175,R175,HO2,1
28,176,R176,HYDRALD,1
60,176,ONITR,R176,-1
73,176,R176,NO2,1
79,176,R176,HO2,1
80,176,NO3,R176,-1
28,177,HYDRALD,R177,-1
68,177,R177,XO2,1
75,177,OH,R177,-1
54,178,R178,GLYALD,0.25
58,178,R178,CO,1
65,178,R178,HYAC,0.25
67,178,R178,CH3COCHO,0.25
68,178,XO2,R178,-1
73,178,R178,NO2,1
76,178,NO,R178,-1
79,178,R178,HO2,1.5
54,179,R179,GLYALD,0.25
58,179,R179,CO,1
65,179,R179,HYAC,0.25
67,179,R179,CH3COCHO,0.25
68,179,XO2,R179,-1
73,179,R179,NO2,1
79,179,R179,HO2,1.5
80,179,NO3,R179,-1
15,180,R180,XOOH,1
68,180,XO2,R180,-1
79,180,HO2,R180,-1
41,181,R181,CH3OH,0.3
54,181,R181,GLYALD,0.1
58,181,R181,CO,0.4
65,181,R181,HYAC,0.1
67,181,R181,CH3COCHO,0.1
68,181,XO2,R181,-1
72,181,R181,CH2O,0.7
77,181,CH3O2,R181,-1
79,181,R181,HO2,1
54,182,R182,GLYALD,0.25
58,182,R182,CO,1
65,182,R182,HYAC,0.25
67,182,R182,CH3COCHO,0.25
68,182,XO2,R182,-1
77,182,R182,CH3O2,1
78,182,CH3CO3,R182,-1
79,182,R182,HO2,1.5
15,183,XOOH,R183,-1
68,183,R183,XO2,1
75,183,OH,R183,-1
15,184,XOOH,R184,-1
75,184,OH,R184,-1
75,184,R184,OH,1
41,185,CH3OH,R185,-1
72,185,R185,CH2O,1
75,185,OH,R185,-1
79,185,R185,HO2,1
17,186,C2H5OH,R186,-1
62,186,R186,CH3CHO,1
75,186,OH,R186,-1
79,186,R186,HO2,1
43,187,MPAN,R187,-1
65,187,R187,HYAC,0.5
72,187,R187,CH2O,0.5
75,187,OH,R187,-1
79,187,R187,HO2,0.5
80,187,R187,NO3,0.5
36,188,PAN,R188,-1
72,188,R188,CH2O,1
75,188,OH,R188,-1
80,188,R188,NO3,1
65,189,HYAC,R189,-1
67,189,R189,CH3COCHO,1
75,189,OH,R189,-1
79,189,R189,HO2,1
37,190,R190,GLYOXAL,0.2
54,190,GLYALD,R190,-1
