! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_4_BiadjacencyMatrix.csv
! Equation file        : MOZART_4.kpp
! Output root filename : MOZART_4
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
CH3O2,77,141,-1
HO2,79,141,1
HYDRALD,28,142,0.4
MACR,66,142,0.25
MVK,69,142,0.35
ISOPO2,71,142,-1
CH2O,72,142,0.6
CH3O2,77,142,1
CH3CO3,78,142,-1
HO2,79,142,1
MVK,69,143,-1
MACRO2,70,143,1
OH,75,143,-1
CO,58,144,0.05
CH3CHO,62,144,0.04
CH3COCHO,67,144,0.95
MVK,69,144,-1
CH2O,72,144,0.8
OH,75,144,0.08
HO2,79,144,0.06
O3,81,144,-0.8
MACR,66,145,-1
MACRO2,70,145,0.5
MCO3,74,145,0.5
OH,75,145,-1
CO,58,146,0.2
MACR,66,146,-1
CH3COCHO,67,146,0.8
CH2O,72,146,0.7
OH,75,146,0.215
HO2,79,146,0.275
O3,81,146,-0.8
GLYALD,54,147,0.53
CO,58,147,0.22
HYAC,65,147,0.22
CH3COCHO,67,147,0.25
MACRO2,70,147,-1
CH2O,72,147,0.25
NO2,73,147,1
NO,76,147,-1
CH3CO3,78,147,0.53
HO2,79,147,0.47
ONITR,60,148,0.8
MACRO2,70,148,-1
NO,76,148,-1
GLYALD,54,149,0.53
CO,58,149,0.22
HYAC,65,149,0.22
CH3COCHO,67,149,0.25
MACRO2,70,149,-1
CH2O,72,149,0.25
NO2,73,149,1
CH3CO3,78,149,0.53
HO2,79,149,0.47
NO3,80,149,-1
MACROOH,20,150,1
MACRO2,70,150,-1
HO2,79,150,-1
CH3OH,41,151,0.25
GLYALD,54,151,0.26
CO,58,151,0.11
HYAC,65,151,0.23
CH3COCHO,67,151,0.24
MACRO2,70,151,-1
CH2O,72,151,0.88
CH3O2,77,151,-1
CH3CO3,78,151,0.26
HO2,79,151,0.73
GLYALD,54,152,0.53
CO,58,152,0.22
HYAC,65,152,0.22
CH3COCHO,67,152,0.25
MACRO2,70,152,-1
CH2O,72,152,0.25
CH3O2,77,152,1
CH3CO3,78,152,-0.47
HO2,79,152,0.47
MACROOH,20,153,-1
MACRO2,70,153,0.2
MCO3,74,153,0.5
OH,75,153,-0.9
HO2,79,153,0.2
CH2O,72,154,1
NO2,73,154,1
MCO3,74,154,-1
NO,76,154,-1
CH3CO3,78,154,1
CH2O,72,155,1
NO2,73,155,1
MCO3,74,155,-1
CH3CO3,78,155,1
NO3,80,155,-1
CH3COOOH,32,156,0.75
CH3COOH,34,156,0.25
MCO3,74,156,-1
HO2,79,156,-1
O3,81,156,0.25
CH2O,72,157,2
MCO3,74,157,-1
CH3O2,77,157,-1
CH3CO3,78,157,1
HO2,79,157,1
CH2O,72,158,1
MCO3,74,158,-1
CH3O2,77,158,1
CH2O,72,159,2
MCO3,74,159,-2
CH3CO3,78,159,2
MPAN,43,160,1
NO2,73,160,-1
MCO3,74,160,-1
MPAN,43,161,-1
NO2,73,161,1
MCO3,74,161,1
C10H16,46,162,-1
TERPO2,64,162,1
OH,75,162,-1
C10H16,46,163,-1
MACR,66,163,1
MVK,69,163,1
OH,75,163,0.7
HO2,79,163,1
O3,81,163,-1
C10H16,46,164,-1
TERPO2,64,164,1
NO2,73,164,1
NO3,80,164,-1
CH3COCH3,51,165,0.1
TERPO2,64,165,-1
MACR,66,165,1
MVK,69,165,1
NO2,73,165,1
NO,76,165,-1
HO2,79,165,1
TERPOOH,38,166,1
TERPO2,64,166,-1
HO2,79,166,-1
TERPOOH,38,167,-1
TERPO2,64,167,1
OH,75,167,-1
CH3COOH,34,168,-1
OH,75,168,-1
CH3O2,77,168,1
ISOPNO3,53,169,1
ISOP,59,169,-1
NO3,80,169,-1
ISOPNO3,53,170,-1
ONITR,60,170,0.794
MACR,66,170,0.167
MVK,69,170,0.039
CH2O,72,170,0.072
NO2,73,170,1.206
NO,76,170,-1
HO2,79,170,0.794
ISOPNO3,53,171,-1
ONITR,60,171,0.794
MACR,66,171,0.167
MVK,69,171,0.039
CH2O,72,171,0.072
NO2,73,171,1.206
HO2,79,171,0.794
NO3,80,171,-1
ISOPNO3,53,172,-1
ONITR,60,172,0.794
MACR,66,172,0.167
MVK,69,172,0.039
CH2O,72,172,0.008
NO2,73,172,0.206
HO2,79,172,-0.206
CO,58,173,1
CH3COCHO,67,173,-1
OH,75,173,-1
CH3CO3,78,173,1
HNO3,39,174,1
CO,58,174,1
CH3COCHO,67,174,-1
CH3CO3,78,174,1
NO3,80,174,-1
HYDRALD,28,175,1
