! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RADM2_EdgeList.csv
! Equation file        : RADM2.kpp
! Output root filename : RADM2
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
45,85,TCO3,R85,-1
51,85,R85,HO2,0.92
55,85,R85,ACO3,0.05
58,85,NO,R85,-1
59,85,R85,NO2,1
30,86,R86,DCB,0.7
31,86,R86,GLY,0.16
34,86,R86,MGLY,0.17
35,86,TOLP,R86,-1
51,86,R86,HO2,1
58,86,NO,R86,-1
59,86,R86,NO2,1
30,87,R87,DCB,0.806
34,87,R87,MGLY,0.45
36,87,XYLP,R87,-1
51,87,R87,HO2,1
58,87,NO,R87,-1
59,87,R87,NO2,1
48,88,R88,ALD,1
51,88,R88,HO2,1
57,88,ETHP,R88,-1
58,88,NO,R88,-1
59,88,R88,NO2,1
34,89,R89,MGLY,1
50,89,KETP,R89,-1
51,89,R89,HO2,1
58,89,NO,R89,-1
59,89,R89,NO2,1
38,90,OLN,R90,-1
43,90,R90,HCHO,1
48,90,R90,ALD,1
58,90,NO,R90,-1
59,90,R90,NO2,2
25,91,R91,HNO3,1
26,91,R91,CO,1
43,91,HCHO,R91,-1
51,91,R91,HO2,1
54,91,NO3,R91,-1
25,92,R92,HNO3,1
48,92,ALD,R92,-1
54,92,NO3,R92,-1
55,92,R92,ACO3,1
25,93,R93,HNO3,1
26,93,R93,CO,2
31,93,GLY,R93,-1
51,93,R93,HO2,1
54,93,NO3,R93,-1
25,94,R94,HNO3,1
26,94,R94,CO,1
34,94,MGLY,R94,-1
54,94,NO3,R94,-1
55,94,R94,ACO3,1
25,95,R95,HNO3,1
30,95,DCB,R95,-1
45,95,R95,TCO3,1
54,95,NO3,R95,-1
22,96,CSL,R96,-1
22,96,R96,CSL,0.5
25,96,R96,HNO3,1
32,96,R96,XNO2,1
54,96,NO3,R96,-1
24,97,OL2,R97,-1
38,97,R97,OLN,1
54,97,NO3,R97,-1
28,98,OLT,R98,-1
38,98,R98,OLN,1
54,98,NO3,R98,-1
29,99,OLI,R99,-1
38,99,R99,OLN,1
54,99,NO3,R99,-1
27,100,ISO,R100,-1
38,100,R100,OLN,1
54,100,NO3,R100,-1
2,101,R101,ORA1,0.4
24,101,OL2,R101,-1
26,101,R101,CO,0.42
43,101,R101,HCHO,1
46,101,O3,R101,-1
51,101,R101,HO2,0.12
2,102,R102,ORA1,0.2
3,102,R102,ORA2,0.2
17,102,R102,CH4,0.06
26,102,R102,CO,0.33
28,102,OLT,R102,-1
43,102,R102,HCHO,0.53
46,102,O3,R102,-1
48,102,R102,ALD,0.5
51,102,R102,HO2,0.23
52,102,R102,MO2,0.22
53,102,R102,OH,0.1
2,103,R103,ORA1,0.06
3,103,R103,ORA2,0.29
17,103,R103,CH4,0.09
26,103,R103,CO,0.23
29,103,OLI,R103,-1
33,103,R103,KET,0.1
43,103,R103,HCHO,0.18
46,103,O3,R103,-1
48,103,R103,ALD,0.72
51,103,R103,HO2,0.26
52,103,R103,MO2,0.31
53,103,R103,OH,0.14
2,104,R104,ORA1,0.2
3,104,R104,ORA2,0.2
26,104,R104,CO,0.33
27,104,ISO,R104,-1
43,104,R104,HCHO,0.53
46,104,O3,R104,-1
48,104,R104,ALD,0.5
51,104,R104,HO2,0.23
52,104,R104,MO2,0.22
53,104,R104,OH,0.1
21,105,R105,OP1,1
51,105,HO2,R105,-1
52,105,MO2,R105,-1
42,106,R106,OP2,1
51,106,HO2,R106,-1
57,106,ETHP,R106,-1
42,107,R107,OP2,1
51,107,HO2,R107,-1
56,107,HC3P,R107,-1
41,108,HC5P,R108,-1
42,108,R108,OP2,1
51,108,HO2,R108,-1
42,109,R109,OP2,1
44,109,HC8P,R109,-1
51,109,HO2,R109,-1
40,110,OL2P,R110,-1
42,110,R110,OP2,1
51,110,HO2,R110,-1
37,111,OLTP,R111,-1
42,111,R111,OP2,1
51,111,HO2,R111,-1
42,112,R112,OP2,1
49,112,OLIP,R112,-1
51,112,HO2,R112,-1
42,113,R113,OP2,1
50,113,KETP,R113,-1
51,113,HO2,R113,-1
18,114,R114,PAA,1
51,114,HO2,R114,-1
55,114,ACO3,R114,-1
35,115,TOLP,R115,-1
42,115,R115,OP2,1
51,115,HO2,R115,-1
36,116,XYLP,R116,-1
42,116,R116,OP2,1
51,116,HO2,R116,-1
42,117,R117,OP2,1
45,117,TCO3,R117,-1
51,117,HO2,R117,-1
38,118,OLN,R118,-1
47,118,R118,ONIT,1
51,118,HO2,R118,-1
43,119,R119,HCHO,1.5
51,119,R119,HO2,1
52,119,MO2,R119,-2
43,120,R120,HCHO,0.75
48,120,R120,ALD,0.75
51,120,R120,HO2,1
52,120,MO2,R120,-1
57,120,ETHP,R120,-1
33,121,R121,KET,0.6
43,121,R121,HCHO,0.75
48,121,R121,ALD,0.15
51,121,R121,HO2,1
52,121,MO2,R121,-1
56,121,HC3P,R121,-1
33,122,R122,KET,0.75
41,122,HC5P,R122,-1
