! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gckpp_EdgeList.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
283,109,NO3,R109,-1
35,110,R110,LOx,1
36,110,R110,PCO,1
231,110,MGLY,R110,-1
235,110,R110,HNO3,1
260,110,R110,MCO3,1
261,110,R110,CO,1
283,110,NO3,R110,-1
231,111,R111,MGLY,1
247,111,HAC,R111,-1
275,111,R111,HO2,1
277,111,OH,R111,-1
6,112,R112,CO2,0.5
36,112,R112,PCO,0.5
208,112,R112,HCOOH,0.5
209,112,R112,ACTA,0.5
247,112,HAC,R112,-1
261,112,R112,CO,0.5
265,112,R112,MO2,0.5
277,112,OH,R112,-1
277,112,R112,OH,1
234,113,A3O2,R113,-1
258,113,R113,RCHO,1
260,113,MCO3,R113,-1
265,113,R113,MO2,1
275,113,R113,HO2,1
205,114,PO2,R114,-1
260,114,MCO3,R114,-1
262,114,R114,ALD2,1
264,114,R114,CH2O,1
265,114,R114,MO2,1
275,114,R114,HO2,1
209,115,R115,ACTA,1
234,115,A3O2,R115,-1
258,115,R115,RCHO,1
260,115,MCO3,R115,-1
205,116,PO2,R116,-1
209,116,R116,ACTA,1
247,116,R116,HAC,0.65
258,116,R116,RCHO,0.35
260,116,MCO3,R116,-1
234,117,R117,A3O2,0.07
249,117,R117,OTHRO2,0.5
255,117,RCO3,R117,-1
257,117,R117,B3O2,0.27
264,117,R117,CH2O,1
265,117,MO2,R117,-1
275,117,R117,HO2,1
255,118,RCO3,R118,-1
264,118,R118,CH2O,1
265,118,MO2,R118,-1
114,119,PRPN,R119,-1
195,119,R119,PROPNN,0.791
198,119,R119,PRN1,0.209
277,119,OH,R119,-1
277,119,R119,OH,0.791
110,120,ETP,R120,-1
249,120,R120,OTHRO2,0.36
262,120,R120,ALD2,0.64
277,120,OH,R120,-1
277,120,R120,OH,0.64
95,121,RA3P,R121,-1
234,121,R121,A3O2,0.36
258,121,R121,RCHO,0.64
277,121,OH,R121,-1
277,121,R121,OH,0.64
96,122,RB3P,R122,-1
219,122,R122,ACET,0.791
257,122,R122,B3O2,0.209
277,122,OH,R122,-1
277,122,R122,OH,0.791
94,123,R4P,R123,-1
256,123,R123,R4O2,0.209
258,123,R123,RCHO,0.791
277,123,OH,R123,-1
277,123,R123,OH,0.791
97,124,RP,R124,-1
255,124,R124,RCO3,1
277,124,OH,R124,-1
113,125,PP,R125,-1
205,125,R125,PO2,0.209
247,125,R125,HAC,0.791
277,125,OH,R125,-1
277,125,R125,OH,0.791
23,126,LVOC,R126,-1
277,126,OH,R126,-1
277,126,R126,OH,1
70,127,MAP,R127,-1
260,127,R127,MCO3,1
277,127,OH,R127,-1
35,128,R128,LOx,1
158,128,C2H6,R128,-1
214,128,R128,ETO2,1
