! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_reduced_plus_v5_BiadjacencyMatrix.csv
! Equation file        : isoprene_reduced_plus_v5.def
! Output root filename : isoprene_reduced_plus_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
HCHO,115,133,0.827
MACR,126,133,0.416
O3,143,133,-1
OH,144,133,0.28
HO2,145,133,0.16
H2O2,3,134,0.06
HMHP,9,134,0.73
HCOOH,19,134,0.21
SCI,36,134,-1
HCHO,115,134,0.06
H2O2,3,135,0.06
HMHP,9,135,0.4
HCOOH,19,135,0.54
SCI,36,135,-1
HCHO,115,135,0.06
SCI,36,136,-1
HCHO,115,136,1
O3,143,136,-1
HMHP,9,137,-1
HCOOH,19,137,0.5
HCHO,115,137,0.5
OH,144,137,-0.5
HO2,145,137,0.5
ISOP,100,138,-1
INO2B,139,138,0.465
NO3,141,138,-1
INO2D,142,138,0.535
INPB,52,139,0.473
MVK,107,139,0.479
HCHO,115,139,0.527
MACR,126,139,0.048
NO2,136,139,0.527
INO2B,139,139,-1
OH,144,139,0.527
HO2,145,139,-1
INPD,69,140,1
INO2D,142,140,-1
HO2,145,140,-1
ISOP3CO4N,33,141,0.038
INO,42,141,0.474
IHNB,43,141,0.399
ISOP1N4OH,105,141,0.032
MVK,107,141,0.544
HCHO,115,141,0.563
ISOP1OH4N,121,141,0.006
MACR,126,141,0.019
ISOP1N4CO,129,141,0.336
ISOP1CO4N,135,141,0.152
NO2,136,141,0.563
INO2B,139,141,-1
INO2D,142,141,-1
HO2,145,141,0.089
INO,42,142,0.34
ISOP1N4OH,105,142,0.671
ISOP1OH4N,121,142,0.127
ISOP1N4CO,129,142,0.67
ISOP1CO4N,135,142,0.191
INO2D,142,142,-2
HO2,145,142,0.064
ISOP3CO4N,33,143,0.07
IHNB,43,143,0.07
MVK,107,143,1.737
HCHO,115,143,1.86
MACR,126,143,0.123
NO2,136,143,1.86
INO2B,139,143,-2
CH3OH,27,144,0.034
ISOP3CO4N,33,144,0.034
IHNB,43,144,0.355
MVK,107,144,0.583
HCHO,115,144,1.577
MACR,126,144,0.028
NO2,136,144,0.611
INO2B,139,144,-1
HO2,145,144,0.611
CH3OH,27,145,0.355
INO,42,145,0.244
ISOP1N4OH,105,145,0.298
HCHO,115,145,0.645
ISOP1OH4N,121,145,0.057
ISOP1N4CO,129,145,0.299
ISOP1CO4N,135,145,0.102
INO2D,142,145,-1
HO2,145,145,0.336
CO2,1,146,1
CH3OO,99,146,1
MVK,107,146,0.903
HCHO,115,146,1
MACR,126,146,0.097
NO2,136,146,1
CH3CO3,138,146,-1
INO2B,139,146,-1
CO2,1,147,1
INO,42,147,0.841
CH3OO,99,147,1
ISOP1CO4N,135,147,0.159
CH3CO3,138,147,-1
INO2D,142,147,-1
HO2,145,147,0.159
MVK,107,148,0.903
HCHO,115,148,1
MACR,126,148,0.097
NO2,136,148,2
INO2B,139,148,-1
NO3,141,148,-1
INO,42,149,0.841
ISOP1CO4N,135,149,0.159
NO2,136,149,1
NO3,141,149,-1
INO2D,142,149,-1
HO2,145,149,0.159
MVK,107,150,0.904
HCHO,115,150,1
MACR,126,150,0.096
NO2,136,150,2
INO2B,139,150,-1
NO,140,150,-1
IDN,94,151,1
INO2B,139,151,-1
NO,140,151,-1
INO,42,152,0.841
ISOP1CO4N,135,152,0.159
NO2,136,152,1
NO,140,152,-1
INO2D,142,152,-1
HO2,145,152,0.159
IDN,94,153,1
NO,140,153,-1
INO2D,142,153,-1
INO,42,154,-1
ISOP1N4CO,129,154,1
HO2,145,154,1
INO,42,155,-1
IDHNBOO,128,155,1
IHNB,43,156,-1
IDHNBOO,128,156,1
OH,144,156,-1
IEPOXD,38,157,1
ISOP1N4OH,105,157,-1
NO2,136,157,1
OH,144,157,-1
ISOP1N4OH,105,158,-1
IDHNDOO1,111,158,1
OH,144,158,-1
IEPOXD,38,159,1
ISOP1OH4N,121,159,-1
NO2,136,159,1
OH,144,159,-1
IDHNDOO2,82,160,1
ISOP1OH4N,121,160,-1
OH,144,160,-1
MVK3OOH4N,56,161,0.6
CO,101,161,0.6
ISOP1OH4N,121,161,-1
ISOP1CO4N,135,161,0.4
OH,144,161,-0.4
HO2,145,161,0.4
MACR2OOH3N,53,162,0.6
CO,101,162,0.6
ISOP1N4OH,105,162,-1
ISOP1N4CO,129,162,0.4
OH,144,162,-0.4
HO2,145,162,0.4
MACR2OH3N,10,163,0.031
PROPNN,104,163,0.551
IDHNDOO1,111,163,-1
HCHO,115,163,0.031
IDHPN,131,163,0.418
GLYC,134,163,0.551
OH,144,163,0.582
HO2,145,163,-0.418
MACR2OH3N,10,164,0.065
PROPNN,104,164,0.935
IDHNDOO1,111,164,-1
HCHO,115,164,0.065
GLYC,134,164,0.935
NO2,136,164,1
NO,140,164,-1
HO2,145,164,1
IDHDN,65,165,1
IDHNDOO1,111,165,-1
NO,140,165,-1
IDHNDOO1,111,166,-1
ICHNP,122,166,1
HO2,145,166,1
IDHNDOO2,82,167,-1
MVK3OH4N,96,167,0.065
ETHLN,114,167,0.441
HCHO,115,167,0.065
HAC,124,167,0.441
IDHPN,131,167,0.494
